NREPEATS = 1000
N_POP = 500
replication_rate = 0.023000
mutation_rate = 0.000001
TFinal = 36500.000000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,19,19,0.284000,0.536582
3650.000000,0,22,22,0.772000,0.837508
5475.000000,0,27,27,1.590000,0.995934
7300.000000,0,28,28,1.882000,1.384163
9125.000000,0,30,30,3.140000,1.261580
10950.000000,0,24,24,3.300000,1.362980
12775.000000,0,25,25,4.330000,1.856878
14600.000000,0,28,28,5.418000,1.335231
16425.000000,0,33,33,5.164000,1.080481
18250.000000,0,20,20,5.744000,0.817190
20075.000000,0,17,12,6.288000,0.859379
21900.000000,0,31,26,6.084000,0.877773
23725.000000,0,38,33,6.670000,1.675325
25550.000000,0,24,19,6.988000,1.843544
27375.000000,0,31,26,8.654000,1.260739
29200.000000,0,29,24,8.868000,1.395159
31025.000000,0,27,18,9.724000,0.772669
32850.000000,0,31,22,9.792000,0.873075
34675.000000,0,44,35,10.752000,0.883208
36500.000000,0,36,27,11.412000,1.069834
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,18,18,0.452000,0.529393
3650.000000,1,17,17,0.864000,0.674101
5475.000000,1,20,20,1.324000,0.862852
7300.000000,1,31,31,1.324000,1.026221
9125.000000,1,36,36,1.992000,1.150035
10950.000000,1,31,31,2.446000,0.959649
12775.000000,1,33,33,2.870000,1.054193
14600.000000,1,38,38,4.006000,1.176747
16425.000000,1,33,33,3.452000,1.435206
18250.000000,1,28,28,3.832000,1.262920
20075.000000,1,38,38,4.248000,1.276619
21900.000000,1,36,36,4.170000,1.253892
23725.000000,1,25,25,4.020000,0.767318
25550.000000,1,29,29,4.618000,1.291283
27375.000000,1,24,24,4.184000,0.826747
29200.000000,1,28,28,4.984000,1.151693
31025.000000,1,38,35,5.368000,1.070920
32850.000000,1,42,38,6.310000,1.069667
34675.000000,1,45,41,6.626000,1.052778
36500.000000,1,39,35,6.292000,1.450152
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,19,19,0.626000,0.700790
3650.000000,2,19,19,1.502000,0.959081
5475.000000,2,34,34,2.306000,1.123784
7300.000000,2,25,25,2.838000,1.055454
9125.000000,2,25,25,3.500000,1.490787
10950.000000,2,26,26,3.604000,1.818185
12775.000000,2,26,26,2.754000,0.916058
14600.000000,2,29,27,3.214000,0.872770
16425.000000,2,30,28,4.270000,0.964864
18250.000000,2,34,32,5.096000,1.159946
20075.000000,2,28,26,4.542000,0.989036
21900.000000,2,31,29,4.950000,0.930178
23725.000000,2,36,34,5.288000,1.056071
25550.000000,2,30,28,5.572000,1.093255
27375.000000,2,35,33,6.330000,1.754782
29200.000000,2,25,23,5.930000,1.127672
31025.000000,2,40,38,6.072000,1.598727
32850.000000,2,43,41,6.982000,1.906028
34675.000000,2,45,43,6.578000,1.457451
36500.000000,2,28,26,6.710000,1.840836
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,22,22,0.588000,0.625330
3650.000000,3,19,19,1.148000,0.441005
5475.000000,3,23,23,1.454000,0.626633
7300.000000,3,19,19,1.482000,0.714631
9125.000000,3,30,30,2.384000,0.966650
10950.000000,3,26,26,2.914000,1.101376
12775.000000,3,27,27,3.094000,1.131249
14600.000000,3,32,32,2.760000,1.524154
16425.000000,3,32,32,3.282000,1.854009
18250.000000,3,34,34,3.632000,2.581842
20075.000000,3,32,32,3.818000,2.382484
21900.000000,3,25,25,4.490000,1.831012
23725.000000,3,25,25,4.684000,1.648508
25550.000000,3,22,22,4.602000,1.523232
27375.000000,3,28,28,4.226000,1.717213
29200.000000,3,27,27,4.022000,1.801112
31025.000000,3,29,29,3.988000,1.443615
32850.000000,3,31,31,4.086000,1.251294
34675.000000,3,26,26,3.888000,1.110821
36500.000000,3,32,32,4.088000,1.105758
0.000000,4,0,0,0.000000,0.000000
1825.000000,4,17,17,0.286000,0.465443
3650.000000,4,21,21,0.538000,0.823354
5475.000000,4,25,25,0.720000,0.855022
7300.000000,4,27,27,1.306000,0.917632
9125.000000,4,26,26,1.000000,1.046035
10950.000000,4,26,26,0.942000,1.200633
12775.000000,4,24,24,2.222000,1.706030
14600.000000,4,30,30,2.368000,1.374173
16425.000000,4,29,29,3.426000,1.123855
18250.000000,4,23,23,3.638000,0.885734
20075.000000,4,24,24,4.054000,1.068348
21900.000000,4,32,32,4.080000,0.956782
23725.000000,4,27,27,4.460000,0.928506
25550.000000,4,28,28,4.970000,0.900401
27375.000000,4,27,27,5.316000,0.904312
29200.000000,4,37,37,5.734000,1.010587
31025.000000,4,36,36,6.670000,0.926724
32850.000000,4,40,40,6.890000,0.961118
34675.000000,4,35,35,7.714000,1.094806
36500.000000,4,46,46,8.106000,1.558082
0.000000,5,0,0,0.000000,0.000000
1825.000000,5,24,24,0.246000,0.499984
3650.000000,5,30,30,0.964000,0.841499
5475.000000,5,28,28,1.258000,1.014640
7300.000000,5,17,17,0.984000,1.368023
9125.000000,5,24,24,0.962000,1.379987
10950.000000,5,25,25,1.876000,1.932898
12775.000000,5,20,20,1.366000,0.964315
14600.000000,5,16,16,1.658000,0.838117
16425.000000,5,19,19,1.476000,0.852571
18250.000000,5,28,28,2.248000,1.260823
20075.000000,5,23,23,2.298000,1.044691
21900.000000,5,29,29,2.968000,1.301678
23725.000000,5,39,39,3.204000,1.014121
25550.000000,5,29,29,3.636000,0.782770
27375.000000,5,36,36,4.372000,0.985677
29200.000000,5,44,44,4.952000,1.540923
31025.000000,5,30,30,5.004000,1.047941
32850.000000,5,30,30,5.754000,0.804225
34675.000000,5,35,35,5.672000,0.798556
36500.000000,5,34,34,6.160000,0.986075
0.000000,6,0,0,0.000000,0.000000
1825.000000,6,19,19,0.610000,0.843399
3650.000000,6,21,21,0.714000,0.951849
5475.000000,6,25,25,1.522000,1.397649
7300.000000,6,24,24,2.998000,1.490785
9125.000000,6,27,27,4.320000,1.229888
10950.000000,6,30,29,4.924000,0.720599
12775.000000,6,37,35,5.002000,1.164779
14600.000000,6,31,29,5.480000,1.205199
16425.000000,6,28,26,5.072000,0.927651
18250.000000,6,25,23,5.306000,0.964481
20075.000000,6,32,30,5.772000,1.204541
21900.000000,6,31,29,5.000000,1.150063
23725.000000,6,25,23,5.284000,1.121543
25550.000000,6,28,26,5.944000,1.065427
27375.000000,6,24,22,6.040000,1.092147
29200.000000,6,28,26,6.534000,1.277540
31025.000000,6,33,31,7.178000,1.121084
32850.000000,6,39,37,7.838000,1.284935
34675.000000,6,43,41,8.392000,1.304507
36500.000000,6,26,19,9.052000,0.618110
0.000000,7,0,0,0.000000,0.000000
1825.000000,7,17,17,0.340000,0.494863
3650.000000,7,19,19,0.798000,1.013534
5475.000000,7,27,27,0.900000,1.249449
7300.000000,7,24,24,1.148000,1.345257
9125.000000,7,26,26,0.930000,1.035008
10950.000000,7,19,19,1.752000,0.885474
12775.000000,7,28,28,2.010000,1.062147
14600.000000,7,22,22,2.226000,1.094221
16425.000000,7,35,35,2.788000,1.500520
18250.000000,7,21,21,3.316000,1.226030
20075.000000,7,27,27,3.782000,1.303024
21900.000000,7,27,27,4.964000,1.268828
23725.000000,7,29,29,5.476000,1.035165
25550.000000,7,39,39,6.096000,1.026104
27375.000000,7,38,38,6.112000,1.386832
29200.000000,7,27,27,6.100000,1.305914
31025.000000,7,32,32,5.564000,1.671973
32850.000000,7,31,31,6.930000,2.108552
34675.000000,7,28,28,7.116000,2.277041
36500.000000,7,35,35,8.346000,1.849629
0.000000,8,0,0,0.000000,0.000000
1825.000000,8,12,12,0.262000,0.688698
3650.000000,8,28,28,0.550000,0.853790
5475.000000,8,27,27,0.804000,1.216777
7300.000000,8,20,20,1.184000,0.848282
9125.000000,8,21,21,1.066000,0.857388
10950.000000,8,25,25,0.970000,0.796473
12775.000000,8,21,21,1.368000,0.926441
14600.000000,8,24,24,1.568000,0.965007
16425.000000,8,33,33,1.940000,1.355017
18250.000000,8,27,27,2.636000,1.433742
20075.000000,8,24,24,3.098000,0.849611
21900.000000,8,29,29,3.906000,1.082362
23725.000000,8,31,31,4.184000,1.101167
25550.000000,8,26,25,4.000000,0.910856
27375.000000,8,33,32,4.650000,0.815371
29200.000000,8,30,29,5.116000,0.912255
31025.000000,8,42,41,6.072000,1.178811
32850.000000,8,41,40,5.858000,1.203633
34675.000000,8,35,34,6.782000,1.760874
36500.000000,8,36,35,8.256000,1.758593
0.000000,9,0,0,0.000000,0.000000
1825.000000,9,27,27,0.494000,0.523940
3650.000000,9,22,22,1.000000,0.648723
5475.000000,9,26,26,1.838000,0.772625
7300.000000,9,33,33,2.892000,1.078268
9125.000000,9,41,41,3.382000,1.601626
10950.000000,9,42,42,4.768000,1.651554
12775.000000,9,42,42,6.054000,1.876733
14600.000000,9,49,49,6.872000,1.215966
16425.000000,9,43,43,7.152000,0.966833
18250.000000,9,37,37,8.318000,0.956402
20075.000000,9,46,46,9.262000,1.015588
21900.000000,9,51,51,9.892000,0.840088
23725.000000,9,54,54,10.618000,0.719104
25550.000000,9,59,59,10.880000,0.784111
