NREPEATS = 1000
N_POP = 1500
replication_rate = 0.023000
mutation_rate = 0.000001
TFinal = 36500.000000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,56,56,0.444000,0.615725
3650.000000,0,68,68,0.829333,0.836265
5475.000000,0,68,68,1.078667,0.932233
7300.000000,0,72,72,1.570667,0.958620
9125.000000,0,79,79,2.162000,0.931129
10950.000000,0,93,93,2.460000,0.991828
12775.000000,0,85,85,2.978667,1.310225
14600.000000,0,81,81,3.515333,1.469423
16425.000000,0,86,86,3.743333,1.271692
18250.000000,0,94,94,3.666000,1.366634
20075.000000,0,97,97,4.346667,1.126944
21900.000000,0,87,87,4.740000,0.908268
23725.000000,0,83,83,5.184667,0.946835
25550.000000,0,96,96,5.450667,0.948068
27375.000000,0,84,84,6.065333,1.297506
29200.000000,0,105,105,6.308000,1.163058
31025.000000,0,118,118,6.895333,1.145973
32850.000000,0,117,117,7.148000,1.292237
34675.000000,0,105,105,7.543333,1.352038
36500.000000,0,111,111,7.730667,1.673717
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,48,48,0.233333,0.482055
3650.000000,1,56,56,0.443333,0.624272
5475.000000,1,69,69,0.906000,0.913813
7300.000000,1,65,65,1.439333,1.434698
9125.000000,1,70,70,2.514667,1.809226
10950.000000,1,89,89,3.329333,2.067460
12775.000000,1,79,79,4.008000,2.274068
14600.000000,1,98,98,4.778667,3.049133
16425.000000,1,83,83,5.873333,3.236089
18250.000000,1,76,76,6.215333,2.973246
20075.000000,1,99,99,6.376000,2.355063
21900.000000,1,77,77,5.944667,2.219810
23725.000000,1,74,74,6.390667,1.883723
25550.000000,1,92,92,7.736000,1.962874
27375.000000,1,92,92,8.732000,1.410024
29200.000000,1,104,104,9.300000,2.210262
31025.000000,1,97,97,10.188000,2.477246
32850.000000,1,89,89,10.476000,2.847249
34675.000000,1,88,88,11.568667,3.106507
36500.000000,1,100,100,10.261333,3.170658
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,59,59,0.360667,0.509993
3650.000000,2,64,64,0.791333,0.951698
5475.000000,2,64,64,0.965333,1.116974
7300.000000,2,74,74,0.946000,0.898678
9125.000000,2,61,61,1.338000,1.142202
10950.000000,2,84,84,2.018000,1.321681
12775.000000,2,88,88,2.482667,1.739650
14600.000000,2,80,80,3.786667,1.975455
16425.000000,2,96,96,4.837333,2.135239
18250.000000,2,83,83,5.306000,2.252350
20075.000000,2,98,98,5.336667,2.087956
21900.000000,2,99,99,5.528000,2.241257
23725.000000,2,88,88,5.992000,2.306111
25550.000000,2,77,77,4.934667,2.262258
27375.000000,2,84,84,6.314667,1.967969
29200.000000,2,88,88,6.403333,2.533693
31025.000000,2,85,85,6.943333,2.574854
32850.000000,2,91,91,7.254000,2.654716
34675.000000,2,110,110,8.056000,2.756192
36500.000000,2,78,78,8.283333,3.355776
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,47,47,0.328000,0.555537
3650.000000,3,53,53,0.457333,0.661668
5475.000000,3,76,76,0.889333,1.074177
7300.000000,3,72,72,0.944667,1.084922
9125.000000,3,57,57,1.278000,1.030254
10950.000000,3,72,72,1.796000,1.500628
12775.000000,3,93,93,1.679333,1.347733
14600.000000,3,91,91,2.105333,1.489872
16425.000000,3,80,80,2.561333,1.529204
18250.000000,3,65,65,2.427333,1.317780
20075.000000,3,79,79,2.891333,1.398390
21900.000000,3,66,66,3.212667,1.536993
23725.000000,3,87,87,3.006667,1.742980
25550.000000,3,83,83,3.996000,1.705850
