NREPEATS = 1000
N_POP = 100
replication_rate = 0.023000
mutation_rate = 0.000001
TFinal = 36500.000000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,4,4,0.780000,0.416333
3650.000000,0,4,4,1.020000,0.140705
5475.000000,0,2,1,1.830000,0.377525
7300.000000,0,6,4,2.390000,0.490207
9125.000000,0,11,9,3.560000,0.913645
10950.000000,0,8,6,3.500000,0.643538
12775.000000,0,10,7,4.620000,0.564613
14600.000000,0,13,10,5.770000,1.644427
16425.000000,0,13,10,7.420000,1.319473
18250.000000,0,15,12,7.060000,1.958251
20075.000000,0,9,4,5.650000,0.479372
21900.000000,0,11,6,6.990000,0.173787
23725.000000,0,11,6,7.340000,0.496859
25550.000000,0,11,4,7.800000,0.471405
27375.000000,0,12,5,8.350000,1.122542
29200.000000,0,15,7,9.270000,0.763498
31025.000000,0,15,5,11.100000,0.502519
32850.000000,0,17,7,11.980000,0.245361
34675.000000,0,19,7,12.500000,0.502519
36500.000000,0,14,2,12.930000,0.325825
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,3,3,0.270000,0.489382
3650.000000,1,2,2,1.000000,0.000000
5475.000000,1,5,4,1.650000,0.557320
7300.000000,1,9,8,3.050000,0.411329
9125.000000,1,8,6,3.150000,0.358870
10950.000000,1,7,4,3.160000,0.368453
12775.000000,1,6,3,3.110000,0.314466
14600.000000,1,7,4,3.190000,0.394277
16425.000000,1,9,6,3.270000,0.565953
18250.000000,1,5,2,3.030000,0.171447
20075.000000,1,6,3,3.730000,0.446196
21900.000000,1,5,2,4.000000,0.000000
23725.000000,1,8,5,4.060000,0.277798
25550.000000,1,10,6,5.310000,1.587164
27375.000000,1,11,7,5.140000,1.490847
29200.000000,1,13,9,5.250000,1.981607
31025.000000,1,13,9,6.300000,2.057261
32850.000000,1,12,8,6.700000,2.110579
34675.000000,1,11,3,8.680000,0.489898
36500.000000,1,13,5,9.180000,0.386123
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,3,3,0.550000,0.500000
3650.000000,2,4,4,0.410000,0.552222
5475.000000,2,5,5,0.400000,0.603023
7300.000000,2,4,4,1.040000,1.033969
9125.000000,2,8,8,1.360000,1.193586
10950.000000,2,4,4,1.050000,0.358870
12775.000000,2,7,6,1.700000,0.502519
14600.000000,2,4,3,1.770000,0.839131
16425.000000,2,5,3,3.000000,0.000000
18250.000000,2,4,1,3.010000,0.100000
20075.000000,2,8,5,3.120000,0.326599
21900.000000,2,6,3,3.060000,0.238683
23725.000000,2,6,3,3.070000,0.355477
25550.000000,2,6,3,3.120000,0.356186
27375.000000,2,7,4,3.130000,0.463953
29200.000000,2,4,1,3.020000,0.140705
31025.000000,2,8,5,3.920000,0.676891
32850.000000,2,11,8,5.020000,0.666364
34675.000000,2,8,3,5.780000,0.690191
36500.000000,2,11,6,6.310000,0.464823
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,6,6,0.640000,0.948364
3650.000000,3,7,7,1.520000,0.797471
5475.000000,3,5,2,3.050000,0.219043
7300.000000,3,6,3,4.330000,0.766139
9125.000000,3,11,6,5.380000,0.632136
10950.000000,3,14,9,5.580000,0.923104
12775.000000,3,6,1,5.050000,0.219043
14600.000000,3,6,1,5.010000,0.100000
16425.000000,3,14,9,6.170000,0.636515
18250.000000,3,9,3,6.270000,0.446196
20075.000000,3,10,4,6.260000,0.645419
21900.000000,3,10,4,6.880000,0.945804
23725.000000,3,10,2,8.020000,0.140705
25550.000000,3,10,2,8.380000,0.487832
27375.000000,3,16,8,9.520000,0.521846
29200.000000,3,15,5,11.030000,0.869866
31025.000000,3,12,2,10.030000,0.171447
32850.000000,3,15,5,10.290000,0.456048
34675.000000,3,12,2,10.880000,0.769100
36500.000000,3,12,2,10.160000,0.545320
0.000000,4,0,0,0.000000,0.000000
1825.000000,4,2,2,0.320000,0.468826
3650.000000,4,3,3,0.570000,1.182832
5475.000000,4,4,4,0.330000,0.472582
7300.000000,4,4,3,1.160000,0.368453
9125.000000,4,1,0,1.000000,0.000000
10950.000000,4,8,7,1.950000,0.557320
12775.000000,4,5,4,1.760000,0.429235
14600.000000,4,4,1,3.360000,0.482418
16425.000000,4,9,6,3.630000,0.544115
18250.000000,4,9,6,4.210000,0.456048
20075.000000,4,15,12,5.040000,0.851855
21900.000000,4,12,9,5.060000,0.238683
