xi,beta,gamma,alpha,w_opt,mu,delta,net_mag,net_rat,h_init,n_init,ws_init,ms_init,wf_init,mf_init
0.0,0.3312,3.7851428571428584e-06,1.0,1000.0,0.023,1.0,0.01,0.01,0.300187617260788,533.0,328.0,141.0,45.0,19.0
0.0,0.3312,9.507848984182549e-06,1.0,1000.0,0.023,1.0,0.01,0.025118864315095794,0.299625468164794,534.0,327.0,140.0,47.0,20.0
0.0,0.3312,2.3882636856210294e-05,1.0,1000.0,0.023,1.0,0.01,0.06309573444801933,0.3,540.0,324.0,139.0,54.0,23.0
0.0,0.3312,5.999047146778528e-05,1.0,1000.0,0.023,1.0,0.01,0.15848931924611143,0.29945553539019965,551.0,315.0,135.0,71.0,30.0
0.0,0.3312,0.0001506892512997924,1.0,1000.0,0.023,1.0,0.01,0.3981071705534973,0.29896907216494845,582.0,295.0,126.0,113.0,48.0
0.0,0.3312,0.0003785142857142858,1.0,1000.0,0.023,1.0,0.01,1.0,0.3006134969325153,652.0,246.0,106.0,210.0,90.0
0.0,0.3312,0.0009507848984182559,1.0,1000.0,0.023,1.0,0.01,2.5118864315095824,0.30039011703511054,769.0,163.0,70.0,375.0,161.0
0.0,0.3312,0.0023882636856210307,1.0,1000.0,0.023,1.0,0.01,6.309573444801936,0.30056497175141245,885.0,83.0,36.0,536.0,230.0
0.0,0.3312,0.005999047146778527,1.0,1000.0,0.023,1.0,0.01,15.848931924611142,0.3007360672975815,951.0,36.0,16.0,629.0,270.0
0.0,0.3312,0.015068925129979241,1.0,1000.0,0.023,1.0,0.01,39.810717055349734,0.2996941896024465,981.0,15.0,6.0,672.0,288.0
0.0,0.3312,0.037851428571428584,1.0,1000.0,0.023,1.0,0.01,100.0,0.3005025125628141,995.0,6.0,3.0,690.0,296.0
0.0,0.8319367861159727,9.507848984182547e-06,1.0,1000.0,0.023,1.0,0.025118864315095794,0.01,0.3003875968992248,516.0,341.0,146.0,20.0,9.0
0.0,0.8319367861159727,2.3882636856210277e-05,1.0,1000.0,0.023,1.0,0.025118864315095794,0.025118864315095794,0.29980657640232106,517.0,339.0,145.0,23.0,10.0
0.0,0.8319367861159727,5.9990471467785236e-05,1.0,1000.0,0.023,1.0,0.025118864315095794,0.06309573444801933,0.3007662835249042,522.0,335.0,144.0,30.0,13.0
