b,beta,delta,gamma,kappa,mf_init,ms_init,mu,wf_init,ws_init,xi
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,258.5,160,140,0.01725,373,326,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,-483.25,160,140,0.0345,373,326,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,-730.0,160,140,0.04025,374,326,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,-977.5,160,140,0.046,374,326,0.0
