beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
0.3312,3.78514285714e-06,0.300558196626,0.01,13.0,86.0,0.023,0.01,200.0,31.0,200.0,0.0
0.831936786116,9.50784898418e-06,0.300979962603,0.0251188643151,5.0,86.0,0.023,0.01,200.0,12.0,200.0,0.0
2.08973072492,2.38826368562e-05,0.301043171178,0.063095734448,2.0,86.0,0.023,0.01,200.0,5.0,200.0,0.0
5.24916625343,5.99904714678e-05,0.301185874245,0.158489319246,1.0,86.0,0.023,0.01,200.0,2.0,200.0,0.0
13.1853094887,0.0001506892513,0.300639082838,0.398107170553,1.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
33.12,0.000378514285714,0.301052736083,1.0,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
83.1936786116,0.000950784898418,0.300800759753,2.51188643151,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
208.973072492,0.00238826368562,0.30070050499,6.3095734448,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
524.916625343,0.00599904714678,0.300660602166,15.8489319246,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
1318.53094887,0.01506892513,0.300644718042,39.8107170553,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
3312.0,0.0378514285714,0.300638394692,100.0,0.0,86.0,0.023,0.01,200.0,1.0,200.0,0.0
0.3312,9.50784898418e-06,0.300348224399,0.01,14.0,86.0,0.023,0.0251188643151,200.0,32.0,200.0,0.0
0.831936786116,2.38826368562e-05,0.300538877889,0.0251188643151,6.0,86.0,0.023,0.0251188643151,200.0,13.0,200.0,0.0
2.08973072492,5.99904714678e-05,0.300508732577,0.063095734448,3.0,86.0,0.023,0.0251188643151,200.0,6.0,200.0,0.0
5.24916625343,0.0001506892513,0.301649457863,0.158489319246,1.0,86.0,0.023,0.0251188643151,200.0,3.0,200.0,0.0
13.1853094887,0.000378514285714,0.301094225606,0.398107170553,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
33.12,0.000950784898418,0.300460019708,1.0,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
83.1936786116,0.00238826368562,0.300207911584,2.51188643151,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
208.973072492,0.00599904714678,0.300107604676,6.3095734448,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
524.916625343,0.01506892513,0.300067681144,15.8489319246,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
1318.53094887,0.0378514285714,0.300051788784,39.8107170553,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
3312.0,0.0950784898418,0.300045462157,100.0,1.0,86.0,0.023,0.0251188643151,200.0,2.0,200.0,0.0
0.3312,2.38826368562e-05,0.300821129947,0.01,15.0,86.0,0.023,0.063095734448,200.0,35.0,200.0,0.0
0.831936786116,5.99904714678e-05,0.300517464966,0.0251188643151,7.0,86.0,0.023,0.063095734448,200.0,16.0,200.0,0.0
2.08973072492,0.0001506892513,0.300289073224,0.063095734448,4.0,86.0,0.023,0.063095734448,200.0,9.0,200.0,0.0
5.24916625343,0.000378514285714,0.30031207081,0.158489319246,3.0,86.0,0.023,0.063095734448,200.0,6.0,200.0,0.0
13.1853094887,0.000950784898418,0.300754530652,0.398107170553,2.0,86.0,0.023,0.063095734448,200.0,5.0,200.0,0.0
33.12,0.00238826368562,0.301144801458,1.0,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
83.1936786116,0.00599904714678,0.300890509952,2.51188643151,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
208.973072492,0.01506892513,0.300789335092,6.3095734448,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
524.916625343,0.0378514285714,0.300749066223,15.8489319246,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
1318.53094887,0.0950784898418,0.300733036414,39.8107170553,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
3312.0,0.238826368562,0.300726655072,100.0,2.0,86.0,0.023,0.063095734448,200.0,4.0,200.0,0.0
0.3312,5.99904714678e-05,0.300753725625,0.01,19.0,86.0,0.023,0.158489319246,200.0,43.0,200.0,0.0
0.831936786116,0.0001506892513,0.300956632798,0.0251188643151,10.0,86.0,0.023,0.158489319246,200.0,23.0,200.0,0.0
2.08973072492,0.000378514285714,0.300238198909,0.063095734448,7.0,86.0,0.023,0.158489319246,200.0,16.0,200.0,0.0
5.24916625343,0.000950784898418,0.300061663081,0.158489319246,6.0,86.0,0.023,0.158489319246,200.0,13.0,200.0,0.0
13.1853094887,0.00238826368562,0.300409743633,0.398107170553,5.0,86.0,0.023,0.158489319246,200.0,12.0,200.0,0.0
33.12,0.00599904714678,0.300754943665,1.0,5.0,86.0,0.023,0.158489319246,200.0,11.0,200.0,0.0
83.1936786116,0.01506892513,0.300496759865,2.51188643151,5.0,86.0,0.023,0.158489319246,200.0,11.0,200.0,0.0
208.973072492,0.0378514285714,0.300394038398,6.3095734448,5.0,86.0,0.023,0.158489319246,200.0,11.0,200.0,0.0
