h_init_mean,n_target,xi,beta,gamma,kappa,b,mu,delta,Q,net_rat
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.0,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.00001,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.0001,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.001,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.01,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.0316227766,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.1,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,1.31622776602,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,2.0,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,4.16227766017,0.01
0.3,1000.0,0.0,33.12,0.000378514285714,977.0,1.24165230759e-05,0.023,1.0,11.0,0.01
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.0,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.00001,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.00003162278,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.0001,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.00031622777,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.001,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.00316227766,0.0158489319246
0.3,1000.0,0.0,33.12,0.000599904714678,965.0,1.24165230759e-05,0.023,1.0,1.01,0.0158489319246
