NREPEATS = 1000
replication_rate = 0.013800
mutation_rate = 0.000001
TFinal = 36500.000000
fs = 0.600000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,30,30,0.193000,0.456025
3650.000000,0,35,35,0.337000,0.549302
5475.000000,0,43,43,0.549000,0.673835
7300.000000,0,44,44,0.700000,0.838274
9125.000000,0,45,45,0.850000,0.987155
10950.000000,0,47,47,1.279000,0.972679
12775.000000,0,49,49,1.589000,0.992504
14600.000000,0,41,41,2.028000,1.021891
16425.000000,0,52,52,2.505000,1.055978
18250.000000,0,55,55,2.989000,1.162855
20075.000000,0,52,52,3.162000,1.101349
21900.000000,0,54,54,3.419000,1.321054
23725.000000,0,67,67,3.692000,1.139489
25550.000000,0,57,57,4.146000,1.120687
27375.000000,0,64,64,4.536000,1.351492
29200.000000,0,72,72,5.253000,1.752730
31025.000000,0,64,64,6.053000,2.281972
32850.000000,0,71,71,6.199000,2.136812
34675.000000,0,65,65,5.921000,2.248514
36500.000000,0,78,78,6.031000,2.385735
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,32,32,0.651000,0.875194
3650.000000,1,54,54,0.959000,1.329318
5475.000000,1,54,54,1.511000,1.433853
7300.000000,1,48,48,1.676000,1.621621
9125.000000,1,57,57,1.732000,1.560324
10950.000000,1,56,56,1.280000,1.122881
12775.000000,1,51,51,1.668000,1.028024
14600.000000,1,45,45,1.935000,1.167106
16425.000000,1,48,48,2.693000,1.397392
18250.000000,1,56,56,2.812000,1.388735
20075.000000,1,61,61,3.506000,1.533073
21900.000000,1,64,64,3.638000,1.787219
23725.000000,1,56,56,3.510000,1.938984
25550.000000,1,66,66,3.827000,1.820545
27375.000000,1,61,61,3.980000,1.877532
29200.000000,1,71,71,3.966000,1.602314
31025.000000,1,58,58,3.837000,1.535183
32850.000000,1,66,66,4.231000,1.917111
34675.000000,1,60,60,4.542000,2.076186
36500.000000,1,67,67,4.837000,2.071406
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,29,29,0.167000,0.413863
3650.000000,2,34,34,0.309000,0.549382
5475.000000,2,42,42,0.627000,0.698827
7300.000000,2,47,47,0.900000,0.861825
9125.000000,2,40,40,1.271000,0.860406
10950.000000,2,47,47,1.507000,1.027135
12775.000000,2,50,50,2.436000,1.043548
14600.000000,2,56,56,2.698000,1.313210
16425.000000,2,52,52,2.779000,1.379152
18250.000000,2,53,53,2.484000,1.247116
20075.000000,2,51,51,2.655000,1.122156
21900.000000,2,45,45,2.835000,1.274912
23725.000000,2,55,55,3.157000,1.662262
25550.000000,2,56,56,3.550000,1.430925
27375.000000,2,58,58,4.008000,1.425471
29200.000000,2,64,64,3.763000,1.328381
31025.000000,2,56,56,3.915000,1.447712
32850.000000,2,55,55,3.871000,1.605284
34675.000000,2,52,52,4.390000,1.976311
36500.000000,2,59,59,4.968000,1.853756
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,35,35,0.231000,0.536588
3650.000000,3,38,38,0.409000,0.685703
5475.000000,3,36,36,0.960000,1.127684
7300.000000,3,44,44,1.398000,1.198763
9125.000000,3,46,46,2.158000,1.174911
10950.000000,3,64,64,2.959000,1.328565
12775.000000,3,63,63,3.214000,1.395762
14600.000000,3,64,64,3.326000,1.406308
16425.000000,3,68,68,4.096000,1.445293
18250.000000,3,61,61,4.402000,1.490173
20075.000000,3,80,80,4.404000,1.659379
21900.000000,3,72,72,3.946000,1.497106
23725.000000,3,69,69,4.650000,1.695398
25550.000000,3,70,70,5.529000,1.777166
27375.000000,3,60,60,5.701000,1.534912
29200.000000,3,62,62,6.135000,1.704606
31025.000000,3,68,68,6.562000,1.918290
32850.000000,3,62,62,6.324000,2.068648
34675.000000,3,57,53,6.783000,2.401599
