NREPEATS = 1000
replication_rate = 0.018400
mutation_rate = 0.000001
TFinal = 36500.000000
fs = 0.800000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,32,32,0.362000,0.563270
3650.000000,0,45,45,0.856000,0.742843
5475.000000,0,44,44,1.340000,1.196592
7300.000000,0,57,57,1.166000,0.980513
9125.000000,0,61,61,1.514000,1.019236
10950.000000,0,55,55,2.044000,0.934311
12775.000000,0,47,47,2.358000,1.266270
14600.000000,0,60,60,2.843000,1.576336
16425.000000,0,59,59,3.600000,1.946738
18250.000000,0,55,55,4.633000,2.335758
20075.000000,0,62,62,5.281000,2.352780
21900.000000,0,51,51,5.000000,2.284561
23725.000000,0,60,60,4.493000,1.480589
25550.000000,0,57,57,4.761000,1.779057
27375.000000,0,58,58,4.886000,1.670867
29200.000000,0,65,65,5.340000,2.096854
31025.000000,0,81,81,5.580000,2.348002
32850.000000,0,71,71,5.860000,2.160803
34675.000000,0,69,69,6.470000,2.014239
36500.000000,0,70,70,6.369000,2.101251
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,31,31,0.338000,0.498000
3650.000000,1,43,43,0.572000,0.631835
5475.000000,1,40,40,1.032000,0.819541
7300.000000,1,46,46,1.519000,0.741747
9125.000000,1,51,51,1.694000,0.654823
10950.000000,1,42,42,1.687000,0.847201
12775.000000,1,50,50,2.269000,1.254677
14600.000000,1,61,61,2.989000,1.029533
16425.000000,1,60,60,3.462000,1.136595
18250.000000,1,63,63,3.748000,1.387956
20075.000000,1,73,73,3.981000,1.658128
21900.000000,1,62,62,4.863000,1.796513
23725.000000,1,62,62,5.764000,1.631860
25550.000000,1,60,60,5.727000,1.541053
27375.000000,1,61,61,5.713000,1.891616
29200.000000,1,61,61,5.805000,2.119308
31025.000000,1,57,57,5.370000,1.993759
32850.000000,1,63,63,5.340000,1.605920
34675.000000,1,51,51,6.031000,1.442956
36500.000000,1,57,57,5.878000,1.608012
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,30,30,0.274000,0.513018
3650.000000,2,39,39,0.325000,0.530713
5475.000000,2,40,40,0.586000,0.580466
7300.000000,2,36,36,0.753000,0.818939
9125.000000,2,42,42,0.978000,1.021058
10950.000000,2,48,48,1.384000,1.125082
12775.000000,2,50,50,2.124000,1.448697
14600.000000,2,47,47,2.853000,1.054753
16425.000000,2,42,42,3.268000,0.852586
18250.000000,2,48,48,3.578000,0.720024
20075.000000,2,57,57,4.102000,0.749772
21900.000000,2,66,66,4.367000,0.821575
23725.000000,2,73,73,4.757000,0.796609
25550.000000,2,61,61,5.239000,0.973050
27375.000000,2,58,58,5.411000,1.027197
29200.000000,2,54,54,5.843000,1.111569
31025.000000,2,51,51,6.101000,1.266650
32850.000000,2,50,50,5.838000,1.123841
34675.000000,2,62,62,6.697000,1.121806
36500.000000,2,66,66,6.795000,1.507065
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,31,31,0.307000,0.575397
3650.000000,3,50,50,0.537000,0.891867
5475.000000,3,46,46,0.703000,0.942167
7300.000000,3,47,47,1.538000,1.199998
9125.000000,3,37,37,1.814000,1.125465
10950.000000,3,53,53,2.308000,1.468091
12775.000000,3,58,58,3.016000,1.419069
14600.000000,3,66,66,3.809000,1.500924
16425.000000,3,51,51,4.279000,1.830986
18250.000000,3,57,57,4.351000,2.052806
20075.000000,3,66,66,5.202000,2.004299
21900.000000,3,74,74,5.365000,1.911918
23725.000000,3,68,68,5.808000,1.832073
25550.000000,3,72,72,6.852000,1.663991
27375.000000,3,80,80,7.126000,1.976368
29200.000000,3,75,75,9.115000,2.996123
31025.000000,3,74,74,10.262000,3.383608
32850.000000,3,80,80,11.194000,3.129242
34675.000000,3,64,64,10.453000,2.409481
36500.000000,3,77,77,11.152000,2.316952
0.000000,4,0,0,0.000000,0.000000
1825.000000,4,42,42,0.519000,1.012257
3650.000000,4,34,34,1.314000,1.956331
5475.000000,4,52,52,3.256000,2.407542
7300.000000,4,46,46,2.242000,1.928511
9125.000000,4,49,49,2.543000,2.356630
10950.000000,4,48,48,2.459000,2.272770
12775.000000,4,54,54,2.624000,2.316461
14600.000000,4,51,51,2.883000,2.151730
16425.000000,4,54,54,3.719000,2.275350
18250.000000,4,54,54,4.105000,2.595132
20075.000000,4,49,49,3.737000,2.062543
21900.000000,4,55,55,5.002000,2.807112
23725.000000,4,61,61,4.054000,1.823296
25550.000000,4,68,68,4.176000,1.520966
27375.000000,4,63,63,4.314000,1.198683
29200.000000,4,65,65,4.134000,1.403572
31025.000000,4,66,66,4.085000,1.436607
32850.000000,4,65,65,4.755000,1.680416
34675.000000,4,60,60,4.052000,1.747670
36500.000000,4,56,56,4.488000,1.535648
0.000000,5,0,0,0.000000,0.000000
1825.000000,5,31,31,0.169000,0.388059
3650.000000,5,38,38,0.600000,0.706044
5475.000000,5,39,39,0.942000,0.910750
7300.000000,5,49,49,1.358000,0.939531
9125.000000,5,44,44,1.608000,1.331957
10950.000000,5,49,49,2.872000,1.733962
12775.000000,5,54,54,3.657000,1.635245
14600.000000,5,63,63,3.489000,1.612600
16425.000000,5,61,61,4.190000,1.694926
