b,beta,delta,gamma,kappa,mf_init,ms_init,mu,wf_init,ws_init,xi
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,0.0,154,138,0.023,362,324,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,583.1451728814611,374,178,0.023,872,415,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,1166.2903457629222,567,195,0.023,1327,456,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,2332.5806915258445,940,214,0.023,2189,499,0.0
1.2416523075924095e-05,33.12,1.0,0.03785142857142858,3498.871037288767,1300,224,0.023,3032,522,0.0
