alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
1.0,0.3312,3.78514285714e-06,0.303748031505,0.01,62,374,0.023,0.01,1000.0,143,857,0.0
1.0,0.831936786116,9.50784898418e-06,0.31981077855,0.0251188643151,32,437,0.023,0.01,1000.0,69,931,0.0
1.0,2.08973072492,2.38826368562e-05,0.286170741146,0.063095734448,15,386,0.023,0.01,1000.0,37,963,0.0
1.0,5.24916625343,5.99904714678e-05,0.319302174757,0.158489319246,12,457,0.023,0.01,1000.0,25,975,0.0
1.0,13.1853094887,0.0001506892513,0.279930332479,0.398107170553,7,381,0.023,0.01,1000.0,19,981,0.0
1.0,33.12,0.000378514285714,0.281912496721,1.0,7,386,0.023,0.01,1000.0,17,983,0.0
1.0,83.1936786116,0.000950784898418,0.317985123335,2.51188643151,8,459,0.023,0.01,1000.0,17,983,0.0
1.0,208.973072492,0.00238826368562,0.288542138853,6.3095734448,6,399,0.023,0.01,1000.0,16,984,0.0
1.0,524.916625343,0.00599904714678,0.29434655254,15.8489319246,7,410,0.023,0.01,1000.0,16,984,0.0
1.0,1318.53094887,0.01506892513,0.296583605284,39.8107170553,7,415,0.023,0.01,1000.0,16,984,0.0
1.0,3312.0,0.0378514285714,0.297467842993,100.0,7,417,0.023,0.01,1000.0,16,984,0.0
1.0,0.3312,9.50784898418e-06,0.300260875574,0.01,70,360,0.023,0.0251188643151,1000.0,162,838,0.0
1.0,0.831936786116,2.38826368562e-05,0.298064736732,0.0251188643151,38,387,0.023,0.0251188643151,1000.0,90,910,0.0
1.0,2.08973072492,5.99904714678e-05,0.30222107227,0.063095734448,26,407,0.023,0.0251188643151,1000.0,60,940,0.0
1.0,5.24916625343,0.0001506892513,0.307653369127,0.158489319246,21,423,0.023,0.0251188643151,1000.0,48,952,0.0
1.0,13.1853094887,0.000378514285714,0.306360786832,0.398107170553,19,423,0.023,0.0251188643151,1000.0,43,957,0.0
1.0,33.12,0.000950784898418,0.305829856832,1.0,18,423,0.023,0.0251188643151,1000.0,41,959,0.0
1.0,83.1936786116,0.00238826368562,0.302105753607,2.51188643151,17,415,0.023,0.0251188643151,1000.0,40,960,0.0
1.0,208.973072492,0.00599904714678,0.307577906173,6.3095734448,18,427,0.023,0.0251188643151,1000.0,40,960,0.0
1.0,524.916625343,0.01506892513,0.291568399534,15.8489319246,16,395,0.023,0.0251188643151,1000.0,39,961,0.0
1.0,1318.53094887,0.0378514285714,0.292482433959,39.8107170553,16,397,0.023,0.0251188643151,1000.0,39,961,0.0
1.0,3312.0,0.0950784898418,0.292803393023,100.0,16,398,0.023,0.0251188643151,1000.0,39,961,0.0
1.0,0.3312,2.38826368562e-05,0.297078769909,0.01,87,335,0.023,0.063095734448,1000.0,206,794,0.0
1.0,0.831936786116,5.99904714678e-05,0.300029741855,0.0251188643151,60,369,0.023,0.063095734448,1000.0,140,860,0.0
