xi,beta,gamma,kappa,b,mu,delta,net_mag,net_rat,h_init,n_target,ws_init,ms_init,wf_init,mf_init
0.0,0.33120000000000005,3.7851428571428584e-06,770.0,1.2416523075924095e-05,0.023,1.0,0.01,0.01,0.3,1000.0,613.0,263.0,87.0,37.0
0.0,0.8319367861159728,9.507848984182547e-06,887.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,0.01,0.3,1000.0,657.0,282.0,43.0,18.0
0.0,2.0897307249184007,2.3882636856210294e-05,941.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,0.01,0.3,1000.0,678.0,290.0,22.0,10.0
0.0,5.249166253431211,5.999047146778528e-05,963.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,0.01,0.3,1000.0,686.0,294.0,14.0,6.0
0.0,13.185309488731832,0.00015068925129979238,973.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,0.01,0.3,1000.0,690.0,296.0,10.0,4.0
0.0,33.120000000000005,0.00037851428571428577,977.0,1.2416523075924095e-05,0.023,1.0,1.0,0.01,0.3,1000.0,692.0,296.0,9.0,4.0
0.0,83.19367861159738,0.0009507848984182559,978.0,1.2416523075924095e-05,0.023,1.0,2.5118864315095824,0.01,0.3,1000.0,692.0,296.0,8.0,4.0
0.0,208.97307249184016,0.0023882636856210303,979.0,1.2416523075924095e-05,0.023,1.0,6.309573444801936,0.01,0.3,1000.0,692.0,297.0,8.0,3.0
0.0,524.916625343121,0.005999047146778527,979.0,1.2416523075924095e-05,0.023,1.0,15.848931924611142,0.01,0.3,1000.0,692.0,297.0,8.0,3.0
0.0,1318.5309488731834,0.015068925129979241,979.0,1.2416523075924095e-05,0.023,1.0,39.810717055349734,0.01,0.3,1000.0,692.0,297.0,8.0,3.0
0.0,3312.0000000000005,0.037851428571428584,979.0,1.2416523075924095e-05,0.023,1.0,100.0,0.01,0.3,1000.0,692.0,297.0,8.0,3.0
0.0,0.33120000000000005,9.507848984182549e-06,747.0,1.2416523075924095e-05,0.023,1.0,0.01,0.025118864315095794,0.3,1000.0,604.0,259.0,96.0,41.0
0.0,0.8319367861159728,2.3882636856210277e-05,860.0,1.2416523075924095e-05,0.023,1.0,0.025118864315095794,0.025118864315095794,0.3,1000.0,648.0,277.0,53.0,23.0
0.0,2.0897307249184007,5.9990471467785236e-05,911.0,1.2416523075924095e-05,0.023,1.0,0.06309573444801933,0.025118864315095794,0.3,1000.0,666.0,286.0,33.0,14.0
0.0,5.249166253431211,0.00015068925129979238,933.0,1.2416523075924095e-05,0.023,1.0,0.15848931924611143,0.025118864315095794,0.3,1000.0,675.0,289.0,25.0,11.0
0.0,13.185309488731832,0.0003785142857142857,942.0,1.2416523075924095e-05,0.023,1.0,0.3981071705534973,0.025118864315095794,0.3,1000.0,678.0,291.0,22.0,9.0
0.0,33.120000000000005,0.0009507848984182547,946.0,1.2416523075924095e-05,0.023,1.0,1.0,0.025118864315095794,0.3,1000.0,680.0,291.0,20.0,9.0
