alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
1.0,0.3312,3.78514285714e-06,0.318294007849,0.01,60,407,0.023,0.01,1000.0,128,872,0.0
1.0,0.831936786116,9.50784898418e-06,0.285699046762,0.0251188643151,26,374,0.023,0.01,1000.0,65,935,0.0
1.0,2.08973072492,2.38826368562e-05,0.319554840718,0.063095734448,17,452,0.023,0.01,1000.0,37,963,0.0
1.0,5.24916625343,5.99904714678e-05,0.281647908812,0.158489319246,9,383,0.023,0.01,1000.0,24,976,0.0
1.0,13.1853094887,0.0001506892513,0.280821565845,0.398107170553,7,383,0.023,0.01,1000.0,19,981,0.0
1.0,33.12,0.000378514285714,0.280904923474,1.0,7,384,0.023,0.01,1000.0,17,983,0.0
1.0,83.1936786116,0.000950784898418,0.316653800358,2.51188643151,8,455,0.023,0.01,1000.0,17,983,0.0
1.0,208.973072492,0.00238826368562,0.286700449815,6.3095734448,6,395,0.023,0.01,1000.0,16,984,0.0
1.0,524.916625343,0.00599904714678,0.292197799013,15.8489319246,7,407,0.023,0.01,1000.0,16,984,0.0
1.0,1318.53094887,0.01506892513,0.294602300374,39.8107170553,7,411,0.023,0.01,1000.0,16,984,0.0
1.0,3312.0,0.0378514285714,0.295470947262,100.0,7,413,0.023,0.01,1000.0,16,984,0.0
1.0,0.3312,9.50784898418e-06,0.295363970488,0.01,61,359,0.023,0.0251188643151,1000.0,145,855,0.0
1.0,0.831936786116,2.38826368562e-05,0.302561398114,0.0251188643151,37,396,0.023,0.0251188643151,1000.0,86,914,0.0
1.0,2.08973072492,5.99904714678e-05,0.305166046948,0.063095734448,26,413,0.023,0.0251188643151,1000.0,59,941,0.0
1.0,5.24916625343,0.0001506892513,0.295339752988,0.158489319246,20,399,0.023,0.0251188643151,1000.0,47,953,0.0
1.0,13.1853094887,0.000378514285714,0.308294536198,0.398107170553,19,426,0.023,0.0251188643151,1000.0,43,957,0.0
1.0,33.12,0.000950784898418,0.306107283397,1.0,18,423,0.023,0.0251188643151,1000.0,41,959,0.0
1.0,83.1936786116,0.00238826368562,0.301520548127,2.51188643151,17,415,0.023,0.0251188643151,1000.0,40,960,0.0
1.0,208.973072492,0.00599904714678,0.307095396038,6.3095734448,18,425,0.023,0.0251188643151,1000.0,40,960,0.0
1.0,524.916625343,0.01506892513,0.309158594906,15.8489319246,18,430,0.023,0.0251188643151,1000.0,40,960,0.0
1.0,1318.53094887,0.0378514285714,0.291574580778,39.8107170553,16,396,0.023,0.0251188643151,1000.0,39,961,0.0
1.0,3312.0,0.0950784898418,0.2920825207,100.0,16,396,0.023,0.0251188643151,1000.0,39,961,0.0
1.0,0.3312,2.38826368562e-05,0.296649108257,0.01,78,343,0.023,0.063095734448,1000.0,186,814,0.0
1.0,0.831936786116,5.99904714678e-05,0.300775514792,0.0251188643151,58,372,0.023,0.063095734448,1000.0,134,866,0.0
1.0,2.08973072492,0.0001506892513,0.298402734613,0.063095734448,47,378,0.023,0.063095734448,1000.0,110,890,0.0
1.0,5.24916625343,0.000378514285714,0.29811893103,0.158489319246,43,383,0.023,0.063095734448,1000.0,100,900,0.0
1.0,13.1853094887,0.000950784898418,0.298969809851,0.398107170553,41,385,0.023,0.063095734448,1000.0,96,904,0.0
1.0,33.12,0.00238826368562,0.295894517469,1.0,39,381,0.023,0.063095734448,1000.0,94,906,0.0
1.0,83.1936786116,0.00599904714678,0.301130184563,2.51188643151,41,391,0.023,0.063095734448,1000.0,94,906,0.0
1.0,208.973072492,0.01506892513,0.303354314448,6.3095734448,41,395,0.023,0.063095734448,1000.0,94,906,0.0
1.0,524.916625343,0.0378514285714,0.296120503916,15.8489319246,39,381,0.023,0.063095734448,1000.0,93,907,0.0
1.0,1318.53094887,0.0950784898418,0.29640293893,39.8107170553,39,382,0.023,0.063095734448,1000.0,93,907,0.0
1.0,3312.0,0.238826368562,0.296598339332,100.0,39,382,0.023,0.063095734448,1000.0,93,907,0.0
1.0,0.3312,5.99904714678e-05,0.301923032148,0.01,119,314,0.023,0.158489319246,1000.0,275,725,0.0
1.0,0.831936786116,0.0001506892513,0.299052396482,0.0251188643151,100,326,0.023,0.158489319246,1000.0,235,765,0.0
1.0,2.08973072492,0.000378514285714,0.30096215072,0.063095734448,94,337,0.023,0.158489319246,1000.0,218,782,0.0
1.0,5.24916625343,0.000950784898418,0.297868406636,0.158489319246,89,335,0.023,0.158489319246,1000.0,210,790,0.0
1.0,13.1853094887,0.00238826368562,0.301856665123,0.398107170553,90,343,0.023,0.158489319246,1000.0,208,792,0.0
1.0,33.12,0.00599904714678,0.298304111456,1.0,88,338,0.023,0.158489319246,1000.0,206,794,0.0
1.0,83.1936786116,0.01506892513,0.300574926996,2.51188643151,88,341,0.023,0.158489319246,1000.0,206,794,0.0
1.0,208.973072492,0.0378514285714,0.301306567153,6.3095734448,89,342,0.023,0.158489319246,1000.0,206,794,0.0
1.0,524.916625343,0.0950784898418,0.301554349706,15.8489319246,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,1318.53094887,0.238826368562,0.301736759335,39.8107170553,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,3312.0,0.599904714678,0.301809377874,100.0,89,343,0.023,0.158489319246,1000.0,206,794,0.0
1.0,0.3312,0.0001506892513,0.29847293199,0.01,183,242,0.023,0.398107170553,1000.0,431,569,0.0
1.0,0.831936786116,0.000378514285714,0.300980167785,0.0251188643151,177,254,0.023,0.398107170553,1000.0,410,590,0.0
1.0,2.08973072492,0.000950784898418,0.298896475949,0.063095734448,171,256,0.023,0.398107170553,1000.0,400,600,0.0
1.0,5.24916625343,0.00238826368562,0.30158492744,0.158489319246,171,260,0.023,0.398107170553,1000.0,397,603,0.0
1.0,13.1853094887,0.00599904714678,0.30028209019,0.398107170553,169,259,0.023,0.398107170553,1000.0,395,605,0.0
1.0,33.12,0.01506892513,0.299095512682,1.0,168,258,0.023,0.398107170553,1000.0,394,606,0.0
1.0,83.1936786116,0.0378514285714,0.2997098112,2.51188643151,169,259,0.023,0.398107170553,1000.0,394,606,0.0
1.0,208.973072492,0.0950784898418,0.299911113686,6.3095734448,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,524.916625343,0.238826368562,0.300074750252,15.8489319246,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,1318.53094887,0.599904714678,0.30013989513,39.8107170553,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,3312.0,1.506892513,0.300165829771,100.0,169,260,0.023,0.398107170553,1000.0,394,606,0.0
1.0,0.3312,0.000378514285714,0.298821928225,0.01,270,156,0.023,1.0,1000.0,633,367,0.0
1.0,0.831936786116,0.000950784898418,0.30141355031,0.0251188643151,270,161,0.023,1.0,1000.0,626,374,0.0
1.0,2.08973072492,0.00238826368562,0.299111236615,0.063095734448,265,161,0.023,1.0,1000.0,622,378,0.0
1.0,5.24916625343,0.00599904714678,0.300006089844,0.158489319246,266,162,0.023,1.0,1000.0,621,379,0.0
1.0,13.1853094887,0.01506892513,0.301390304285,0.398107170553,268,164,0.023,1.0,1000.0,621,379,0.0
1.0,33.12,0.0378514285714,0.299076138926,1.0,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,83.1936786116,0.0950784898418,0.299429827396,2.51188643151,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,208.973072492,0.238826368562,0.299570633251,6.3095734448,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,524.916625343,0.599904714678,0.299626689091,15.8489319246,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,1318.53094887,1.506892513,0.299649005321,39.8107170553,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,3312.0,3.78514285714,0.299657889568,100.0,265,162,0.023,1.0,1000.0,620,380,0.0
1.0,0.3312,0.000950784898418,0.299498133592,0.01,345,83,0.023,2.51188643151,1000.0,807,193,0.0
1.0,0.831936786116,0.00238826368562,0.299104249419,0.0251188643151,343,83,0.023,2.51188643151,1000.0,805,195,0.0
1.0,2.08973072492,0.00599904714678,0.297985588276,0.063095734448,341,83,0.023,2.51188643151,1000.0,804,196,0.0
