,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,6.07162910969,693.77754485,2.6021267613,297.333233507
2,2.0,6.07161893445,693.64293344,2.60212240048,297.275542903
3,3.0,6.07160889699,693.51138273,2.60211809871,297.219164027
4,4.0,6.07159902456,693.382823451,2.60211386767,297.164067193
5,5.0,6.07158951354,693.25718738,2.60210979152,297.110223163
6,6.0,6.07158005509,693.134408243,2.6021057379,297.057603533
7,7.0,6.07157080007,693.014421049,2.60210177146,297.006180449
8,8.0,6.0715617836,692.89716217,2.60209790726,296.955926644
9,9.0,6.07155368903,692.782568836,2.60209443816,296.906815215
10,10.0,6.07154490595,692.670582209,2.60209067398,296.858820947
11,10.0,6.07154490595,692.670582209,2.60209067398,296.858820947
12,11.0,6.07153669192,692.561141956,2.60208715369,296.811917981
13,12.0,6.07152803695,692.454190532,2.6020834444,296.766081656
14,13.0,6.07152035517,692.349670212,2.60208015222,296.721287234
15,14.0,6.07151251623,692.247526913,2.60207679267,296.677511534
16,15.0,6.07150484597,692.147706431,2.60207350541,296.634731327
17,16.0,6.0714981234,692.050154804,2.60207062433,296.592923487
18,17.0,6.07149002428,691.954822912,2.60206715326,296.552066962
19,18.0,6.07148316017,691.861657615,2.6020642115,296.512138978
20,19.0,6.07147630474,691.770611245,2.60206127347,296.473119105
21,20.0,6.07146931418,691.681635233,2.60205827751,296.434986528
22,20.0,6.07146931418,691.681635233,2.60205827751,296.434986528
23,21.0,6.07146273186,691.594682269,2.60205545651,296.397720972
24,22.0,6.07145618161,691.509706526,2.60205264926,296.361302797
25,23.0,6.07144965488,691.426663275,2.60204985209,296.325712832
26,24.0,6.07144384822,691.345507572,2.60204736353,296.290931817
27,25.0,6.07143751172,691.266197962,2.60204464788,296.256941984
28,26.0,6.07143180544,691.188691263,2.60204220233,296.223724827
29,27.0,6.07142575718,691.112947649,2.60203961022,296.191263278
30,28.0,6.07141997335,691.038926019,2.60203713143,296.159539722
31,29.0,6.07141491861,690.966586945,2.60203496512,296.128537262
32,30.0,6.07140901255,690.895893901,2.60203243395,296.098240243
33,30.0,6.07140901255,690.895893901,2.60203243395,296.098240243
34,31.0,6.07140399219,690.826807527,2.60203028237,296.068631797
35,32.0,6.07139855488,690.759292566,2.60202795209,296.039696814
36,33.0,6.07139388994,690.693312185,2.60202595284,296.011419508
37,34.0,6.07138864618,690.62883283,2.6020237055,295.983785499
38,35.0,6.07138397503,690.565819269,2.60202170359,295.956779687
39,36.0,6.07137930164,690.504238594,2.6020197007,295.930387969
40,37.0,6.07137480086,690.444058122,2.6020177718,295.904596338
41,38.0,6.07136999255,690.385246558,2.60201571109,295.879391382
42,39.0,6.07136598582,690.327771508,2.60201399393,295.854759218
43,40.0,6.07136169589,690.271603848,2.60201215539,295.830687364
44,40.0,6.07136169589,690.271603848,2.60201215539,295.830687364
45,41.0,6.07135733757,690.216713565,2.60201028753,295.807162956
46,42.0,6.0713546569,690.163069728,2.6020091387,295.78417274
47,43.0,6.07134932426,690.110648378,2.60200685326,295.761706448
48,44.0,6.07134510725,690.059418097,2.60200504596,295.739750613
49,45.0,6.07134121665,690.009352438,2.60200337856,295.718293902
50,46.0,6.07133750801,689.960425191,2.60200178915,295.697325082
51,47.0,6.07133400873,689.912610405,2.60200028946,295.676833031
52,48.0,6.07132991631,689.865883464,2.60199853556,295.656807199
53,49.0,6.07132675299,689.820218231,2.60199717985,295.637236385
54,50.0,6.07132356772,689.775591433,2.60199581474,295.618110614
