,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,666.39767878,18.8359194265,285.599005191,8.07253689707
2,2.0,652.478269559,18.0988522923,279.633544097,7.75665098242
3,3.0,639.15368027,17.4098694146,273.92300583,7.46137260626
4,4.0,626.399819428,16.7651964986,268.457065469,7.18508421368
5,5.0,614.193127236,16.1617074261,263.225625958,6.92644603976
6,6.0,602.510931929,15.5965202975,258.218970827,6.68422298466
7,7.0,591.331381728,15.0669795787,253.427735026,6.45727696224
8,8.0,580.633607535,14.5705864605,248.842974658,6.2445370545
9,9.0,570.397402114,14.1050814748,244.456029478,6.04503491769
10,10.0,560.603431614,13.6683337724,240.258613549,5.85785733104
11,10.0,560.603431614,13.6683337724,240.258613549,5.85785733104
12,11.0,551.233241717,13.2583861852,236.242817879,5.68216550797
13,12.0,542.268702473,12.8734163418,232.400872488,5.51717843221
14,13.0,533.692819272,12.5117433429,228.725493974,5.36217571836
15,14.0,525.489134171,12.171811716,225.20962893,5.21649073543
16,15.0,517.641846312,11.8521678486,221.846505562,5.07950050653
17,16.0,510.135822091,11.5514714997,218.629638039,4.9506306427
18,17.0,502.956504345,11.268481103,215.552787576,4.82934904414
19,18.0,496.08997973,11.0020219995,212.609991313,4.7151522855
20,19.0,489.52285562,10.751035267,209.795509551,4.607586543
21,20.0,483.242306538,10.5145266694,207.103845659,4.50622571547
22,20.0,483.242306538,10.5145266694,207.103845659,4.50622571547
23,21.0,477.2361747,10.2915701252,204.529789157,4.41067291078
24,22.0,471.492409294,10.0812908418,202.068175412,4.32055321793
25,23.0,465.999848576,9.88290057417,199.714220818,4.2355288175
26,24.0,460.747677055,9.69564204172,197.463290167,4.15527516074
27,25.0,455.725514887,9.5188294241,195.310934952,4.07949832461
28,26.0,450.92343515,9.35181072203,193.252900778,4.00791888087
29,27.0,446.331910726,9.19398546841,191.285104597,3.94027948646
30,28.0,441.941822005,9.04479811278,189.403638002,3.87634204833
31,29.0,437.744427906,8.90373136956,187.604754817,3.81588487267
32,30.0,433.731385609,8.7702816159,185.884879547,3.7586921211
33,30.0,433.731385609,8.7702816159,185.884879547,3.7586921211
34,31.0,429.8947975,8.64400076566,184.2406275,3.70457175671
35,32.0,426.226744116,8.52446076652,182.668604621,3.65334032851
36,33.0,422.72001344,8.41126775051,181.165720046,3.60482903593
37,34.0,419.367581043,8.30404604297,179.728963304,3.55887687556
38,35.0,416.162704221,8.20246208944,178.355444666,3.51534089547
39,36.0,413.098958765,8.10617498464,177.042410899,3.47407499342
40,37.0,410.170177429,8.01488652937,175.787218898,3.43495136973
41,38.0,407.370460199,7.92831336606,174.587340085,3.39784858545
42,39.0,404.694158991,7.84618948273,173.440353853,3.36265263545
43,40.0,402.13587658,7.76826281624,172.343947106,3.32925549268
44,40.0,402.13587658,7.76826281624,172.343947106,3.32925549268
45,41.0,399.690589046,7.69431596335,171.295966734,3.29756398429
46,42.0,397.35304752,7.62410176152,170.294163223,3.26747218351
47,43.0,395.118674822,7.55742470409,169.336574924,3.23889630175
48,44.0,392.9829426,7.49410178701,168.421261114,3.21175790872
49,45.0,390.94153204,7.43393469658,167.546370874,3.18597201282
50,46.0,388.990290184,7.37676314215,166.710124365,3.16146991806
51,47.0,387.12525595,7.32242604139,165.910823978,3.13818258917
52,48.0,385.342639341,7.27077148357,165.146845432,3.11604492153
53,49.0,383.638818726,7.22165105509,164.416636597,3.09499330932
54,50.0,382.010326348,7.17493780423,163.718711292,3.07497334467
55,50.0,382.010326348,7.17493780423,163.718711292,3.07497334467
56,51.0,380.453973082,7.13050519133,163.051702749,3.05593079629
57,52.0,378.9663237,7.08823275068,162.414138728,3.03781403601
58,53.0,377.544478125,7.04801156294,161.804776339,3.02057638412
59,54.0,376.185552411,7.00972042017,161.222379605,3.00416589436
60,55.0,374.886751285,6.9732815789,160.665750551,2.9885492481
61,56.0,373.645432217,6.93859078182,160.133756664,2.97368176364
62,57.0,372.459067698,6.90555151921,159.625314728,2.95952207966
63,58.0,371.325221192,6.87409201237,159.139380511,2.94603943387
64,59.0,370.241578025,6.84412949307,158.674962011,2.93319835417
65,60.0,369.205918524,6.8155913424,158.231107939,2.92096771817
66,60.0,369.205918524,6.8155913424,158.231107939,2.92096771817
67,61.0,368.216167965,6.78840058157,157.806929128,2.90931453496
68,62.0,367.270220922,6.76249072529,157.401523252,2.89821031084
69,63.0,366.366174604,6.73780475244,157.01407483,2.88763060819
70,64.0,365.502186912,6.71427249381,156.643794391,2.87754535449
71,65.0,364.676475103,6.69184793843,156.289917901,2.86793483076
72,66.0,363.887359721,6.67046655945,155.951725595,2.85877138262
73,67.0,363.133213369,6.65008507185,155.628520015,2.85003645936
74,68.0,362.412490986,6.63065408136,155.319638994,2.84170889201
75,69.0,361.72371535,6.61212586193,155.024449436,2.83376822654
76,70.0,361.065472264,6.59445750062,154.742345256,2.82619607169
77,70.0,361.065472264,6.59445750062,154.742345256,2.82619607169
78,71.0,360.436450915,6.57760653547,154.472764678,2.81897422949
79,72.0,359.835276786,6.56153621543,154.215118622,2.81208694947
80,73.0,359.26076423,6.54620136166,153.968898956,2.80551486928
81,74.0,358.711722768,6.53157749162,153.733595472,2.79924749641
82,75.0,358.187028452,6.51762488394,153.50872648,2.7932678074
83,76.0,357.685601769,6.50431636625,153.293829329,2.78756415696
84,77.0,357.2064176,6.49161250732,153.088464686,2.78211964599
85,78.0,356.748486821,6.47949267599,152.892208637,2.77692543257
86,79.0,356.310868125,6.46792717895,152.704657768,2.77196879098
87,80.0,355.892659722,6.45689226887,152.525425595,2.7672395438
88,80.0,355.892659722,6.45689226887,152.525425595,2.7672395438
89,81.0,355.493063649,6.44635723744,152.354170135,2.76272453033
90,82.0,355.111129515,6.43631094382,152.190484078,2.75841897592
91,83.0,354.746178489,6.42671771203,152.034076495,2.75430759087
92,84.0,354.397391,6.41755512972,151.884596143,2.75038076988
93,85.0,354.064073556,6.40881389559,151.74174581,2.74663452668
94,86.0,353.745577051,6.40046807651,151.605247308,2.74305774707
95,87.0,353.441183577,6.39249994166,151.474792962,2.73964283214
96,88.0,353.150296965,6.38489264294,151.350127271,2.73638256126
97,89.0,352.872317971,6.37763121691,151.230993416,2.73327052153
98,90.0,352.606674803,6.3706983759,151.117146344,2.73029930396
99,90.0,352.606674803,6.3706983759,151.117146344,2.73029930396
100,91.0,352.35287385,6.36407945823,151.008374507,2.72746262495
101,92.0,352.110360743,6.3577610441,150.904440318,2.72475473319
102,93.0,351.878565441,6.35172420233,150.805099475,2.72216751528
103,94.0,351.657023716,6.3459627874,150.710153021,2.71969833746
104,95.0,351.445322098,6.34045379268,150.619423756,2.71733733972
105,96.0,351.243075587,6.33520159542,150.53274668,2.71508639804
106,97.0,351.049742261,6.33018195493,150.449889541,2.71293512354
107,98.0,350.864988557,6.32539013718,150.370709382,2.71088148736
108,99.0,350.688443819,6.3208056297,150.295047351,2.70891669844
109,100.0,350.519832445,6.31644007854,150.222785334,2.70704574795
110,100.0,350.519832445,6.31644007854,150.222785334,2.70704574795
111,101.0,350.358640794,6.31225964184,150.153703197,2.70525413222
112,102.0,350.204560398,6.30827722822,150.087668742,2.70354738352
113,103.0,350.057396331,6.30446536353,150.024598428,2.70191372723
114,104.0,349.916865412,6.30083020391,149.964370891,2.70035580168
115,105.0,349.782600462,6.29735878595,149.906828769,2.69886805112
116,106.0,349.654163281,6.29404082011,149.851784263,2.69744606576
117,107.0,349.531591667,6.29087430261,149.799253571,2.69608898683
118,108.0,349.414418922,6.28784835491,149.749036681,2.69479215211
119,109.0,349.302435234,6.28495822255,149.701043672,2.69355352395
120,110.0,349.195406639,6.28219671377,149.655174274,2.69237002019
121,110.0,349.195406639,6.28219671377,149.655174274,2.69237002019
122,111.0,349.093025283,6.27955550923,149.61129655,2.69123807539
123,112.0,348.995134604,6.27703473967,149.569343402,2.69015774557
124,113.0,348.901670229,6.27462258052,149.529287241,2.68912396308
125,114.0,348.812285435,6.27232070455,149.490979472,2.68813744481
126,115.0,348.726927548,6.27011967531,149.454397521,2.68719414656
127,116.0,348.645323157,6.26801735449,149.41942421,2.68629315192
128,117.0,348.567312523,6.26600974924,149.385991081,2.68543274967
129,118.0,348.492827174,6.26409324125,149.354068789,2.68461138911
130,119.0,348.421668098,6.26226198911,149.323572042,2.68382656676
131,120.0,348.35366503,6.2605123645,149.29442787,2.68307672765
132,120.0,348.35366503,6.2605123645,149.29442787,2.68307672765
133,121.0,348.288645558,6.25884357052,149.266562382,2.68236153022
134,122.0,348.226513635,6.25724205925,149.239934415,2.68167516825
135,123.0,348.167169447,6.25571608515,149.214501192,2.68102117935
136,124.0,348.110458356,6.25425822963,149.190196438,2.68039638413
137,125.0,348.056262963,6.25286521131,149.166969841,2.67979937628
138,126.0,348.004469942,6.25153426523,149.144772832,2.67922897081
139,127.0,347.954974001,6.25026254556,149.123560286,2.6786839481
140,128.0,347.907694088,6.24904795473,149.103297466,2.67816340917
141,129.0,347.862503185,6.24788640149,149.083929936,2.67766560064
