,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,15.0316242059,684.137509503,6.44212465966,293.201789787
2,2.0,15.0313746699,683.814872661,6.44201771567,293.063516855
3,3.0,15.0312020433,683.49950448,6.44194373284,292.928359063
4,4.0,15.0310420758,683.191302013,6.44187517575,292.796272291
5,5.0,15.030908518,682.890088232,6.44181795555,292.667180652
6,6.0,15.0307150726,682.595789719,6.44174390634,292.541043875
7,7.0,15.0305756928,682.308136736,6.44167826117,292.417769927
8,8.0,15.0304188536,682.027048295,6.44160935042,292.297305144
9,9.0,15.0302840261,681.752336042,6.44155200519,292.179570884
10,10.0,15.0301507002,681.483874906,6.44149433339,292.064516643
11,10.0,15.0301507002,681.483874906,6.44149433339,292.064516643
12,11.0,15.0300023021,681.221575489,6.44142955372,291.952103785
13,12.0,15.0298664454,680.965393166,6.4413713977,291.842311293
14,13.0,15.0297323559,680.715039661,6.44131383482,291.73501703
15,14.0,15.0296012773,680.470379395,6.44125757246,291.630162716
16,15.0,15.0294745471,680.231266845,6.44120337048,291.527685798
17,16.0,15.029349848,679.997595632,6.44114993492,291.427540985
18,17.0,15.029227913,679.769214106,6.44109768723,291.329663178
19,18.0,15.0291079093,679.546024353,6.44104616636,291.234010517
20,19.0,15.0289921753,679.327908268,6.44099669183,291.14053207
21,20.0,15.0288773853,679.114753886,6.44094740525,291.049180282
22,20.0,15.0288773853,679.114753886,6.44094740525,291.049180282
23,21.0,15.0287665703,678.906463106,6.44090001275,290.959912706
24,22.0,15.0286566412,678.702888801,6.44085279256,290.872666683
25,23.0,15.0285508681,678.503942155,6.44080758252,290.787403713
26,24.0,15.0284450507,678.309521067,6.44076203668,290.704080585
27,25.0,15.0283448343,678.119515328,6.44071932358,290.622649318
28,26.0,15.0282434284,677.933834913,6.44067564704,290.543072213
29,27.0,15.0281473302,677.752371799,6.44063465125,290.465302118
30,28.0,15.0280508551,677.575036287,6.44059316054,290.389301329
31,29.0,15.0279584711,677.401731163,6.44055368141,290.31502759
32,30.0,15.0278667656,677.232366273,6.44051431063,290.242442706
33,30.0,15.0278667656,677.232366273,6.44051431063,290.242442706
34,31.0,15.0277778208,677.066869713,6.44047621748,290.171515583
35,32.0,15.0276902841,676.905135813,6.44043865283,290.102201103
36,33.0,15.0276049877,676.747073857,6.44040208768,290.034460274
37,34.0,15.0275224288,676.5926116,6.44036680428,289.968262065
38,35.0,15.0274405085,676.441650581,6.44033163711,289.903564544
39,36.0,15.0273611517,676.294130929,6.4402976648,289.840341798
40,37.0,15.0272829361,676.149963814,6.4402640994,289.778555936
41,38.0,15.0272072266,676.009066453,6.44023170796,289.718171298
42,39.0,15.0271326335,675.871371502,6.44019971962,289.659159195
43,40.0,15.0270577389,675.73682099,6.44016734809,289.601494964
44,40.0,15.0270577389,675.73682099,6.44016734809,289.601494964
45,41.0,15.0269873099,675.605319417,6.44013725721,289.545137054
46,42.0,15.026918687,675.476810004,6.44010796772,289.490061471
47,43.0,15.0268500515,675.351221007,6.44007847122,289.436237696
48,44.0,15.0267844575,675.228476922,6.44005047429,289.383632974
49,45.0,15.026718712,675.108537863,6.44002220106,289.332230617
50,46.0,15.0266579976,674.991246352,6.43999654703,289.28196246
51,47.0,15.0265977382,674.876639013,6.43997096244,289.232844789
52,48.0,15.0265339007,674.764665198,6.43994320782,289.184856406
53,49.0,15.0264747212,674.655264939,6.43991786837,289.137970558
