,t,ws,wf,ms,mf
0,0.0,350.0,350.0,150.0,150.0
1,1.0,85.2158266179,612.824427256,36.5210685505,262.639040252
2,2.0,85.1875022824,610.960115653,36.5089295496,261.840049566
3,3.0,85.1597119526,609.138935988,36.4970194082,261.059543995
4,4.0,85.1324446436,607.359903606,36.4853334187,260.297101545
5,5.0,85.1056768082,605.622062384,36.4738614892,259.55231245
6,6.0,85.0794089321,603.924436772,36.4626038281,258.824758617
7,7.0,85.0536321502,602.266112051,36.4515566358,258.114048022
8,8.0,85.0283448242,600.646167854,36.4407192104,257.419786223
9,9.0,85.003545519,599.063710123,36.4300909367,256.741590053
10,10.0,84.9792183471,597.517884175,36.4196650059,256.079093218
11,10.0,84.9792183471,597.517884175,36.4196650059,256.079093218
12,11.0,84.9553503941,596.007843487,36.4094358832,255.431932923
13,12.0,84.9319711007,594.532725549,36.399416186,254.799739521
14,13.0,84.9089969818,593.09180562,36.3895701351,254.182202409
15,14.0,84.8865008265,591.684202269,36.3799289256,253.57894383
16,15.0,84.8644316833,590.309201878,36.3704707214,252.989657948
17,16.0,84.8427963846,588.96602659,36.3611984505,252.414011396
18,17.0,84.8215944025,587.653937089,36.3521118868,251.851687324
19,18.0,84.8008096721,586.372224899,36.3432041452,251.3023821
20,19.0,84.7804240275,585.120192175,36.3344674404,250.765796647
21,20.0,84.7604494972,583.897136591,36.3259069274,250.241629968
22,20.0,84.7604494972,583.897136591,36.3259069274,250.241629968
23,21.0,84.7408814589,582.702390981,36.3175206252,249.729596135
24,22.0,84.7216993438,581.535309332,36.3092997188,249.229418285
25,23.0,84.7028984066,580.395246682,36.3012421743,248.740820007
26,24.0,84.6844882602,579.281567531,36.2933521115,248.263528942
27,25.0,84.6664424393,578.193679442,36.2856181883,247.797291189
28,26.0,84.6487600309,577.130974964,36.2780400132,247.341846413
29,27.0,84.6314420316,576.09287195,36.2706180135,246.896945121
30,28.0,84.6144794987,575.078790369,36.2633483566,246.46233873
31,29.0,84.5978647525,574.088188627,36.2562277511,246.037795126
32,30.0,84.5815838491,573.120528476,36.2492502211,245.623083633
33,30.0,84.5815838491,573.120528476,36.2492502211,245.623083633
34,31.0,84.5656371805,572.175278853,36.2424159345,245.217976651
35,32.0,84.5500283072,571.251901705,36.2357264174,244.822243588
36,33.0,84.5347383894,570.349905104,36.2291735955,244.435673616
37,34.0,84.5197701314,569.468786405,36.2227586278,244.058051317
38,35.0,84.5051096267,568.608067659,36.2164755543,243.689171854
39,36.0,84.4907511258,567.7672799,36.210321911,243.328834243
40,37.0,84.4767003217,566.945953989,36.2043001379,242.976837424
41,38.0,84.4629381522,566.143649952,36.1984020652,242.632992836
42,39.0,84.4494656762,565.359914818,36.192628147,242.297106351
43,40.0,84.4362785358,564.594326318,36.1869765154,241.968996993
44,40.0,84.4362785358,564.594326318,36.1869765154,241.968996993
45,41.0,84.4233717836,563.846464544,36.1814450501,241.648484805
46,42.0,84.41072341,563.115927747,36.1760243186,241.335397606
47,43.0,84.3983672369,562.402282614,36.1707288158,241.029549692
48,44.0,84.386255744,561.705175609,36.165538176,240.730789547
49,45.0,84.3744098785,561.024201031,36.1604613765,240.438943299
50,46.0,84.3628164044,560.358992987,36.1554927447,240.153854137
51,47.0,84.3514670577,559.709187175,36.150628739,239.875365932
52,48.0,84.3403603499,559.074435866,36.1458687214,239.603329657
53,49.0,84.3294916215,558.454376252,36.1412106949,239.337589822
54,50.0,84.3188516195,557.848675749,36.1366506941,239.078003892
55,50.0,84.3188516195,557.848675749,36.1366506941,239.078003892
56,51.0,84.3084544169,557.256986007,36.1321947501,238.824422574
57,52.0,84.2982695933,556.679009304,36.1278298257,238.576718273
58,53.0,84.2883119689,556.114405499,36.1235622724,238.334745214
59,54.0,84.2785648185,555.562877739,36.1193849222,238.098376174
60,55.0,84.2690214374,555.024124519,36.1152949017,237.867481937
61,56.0,84.2597027353,554.497830801,36.1113011723,237.641927486
62,57.0,84.2505775556,553.983728178,36.107390381,237.421597791
63,58.0,84.2416428489,553.481538713,36.103561221,237.206373734
64,59.0,84.2329117014,552.990966543,36.0998193006,236.996128518
65,60.0,84.2243721751,552.511750304,36.0961595036,236.79075013
66,60.0,84.2243721751,552.511750304,36.0961595036,236.79075013
67,61.0,84.2160182122,552.043633127,36.0925792338,236.590128483
68,62.0,84.207840772,551.58635838,36.0890746166,236.394153591
69,63.0,84.1998485586,551.139665552,36.0856493823,236.202713808
70,64.0,84.1920338998,550.70331434,36.0823002428,236.015706146
71,65.0,84.1843855155,550.277069737,36.0790223638,235.833029887
72,66.0,84.1769025998,549.86069793,36.0758153999,235.654584827
73,67.0,84.1695899899,549.453965827,36.0726814242,235.480271069
74,68.0,84.1624393708,549.056644098,36.0696168732,235.309990328
75,69.0,84.1554388706,548.668528507,36.0666166588,235.143655074
76,70.0,84.1486120311,548.289382432,36.0636908705,234.981163899
77,70.0,84.1486120311,548.289382432,36.0636908705,234.981163899
78,71.0,84.1419172302,547.919032863,36.0608216701,234.822442655
79,72.0,84.1353693461,547.557262808,36.058015434,234.667398346
80,73.0,84.1289780347,547.203853677,36.0552763006,234.51593729
81,74.0,84.1227267891,546.858628097,36.0525971953,234.36798347
82,75.0,84.1166039729,546.521407589,36.0499731313,234.223460395
83,76.0,84.1106288979,546.191982239,36.0474123848,234.082278103
84,77.0,84.1047784971,545.870196373,36.0449050702,233.944369874
85,78.0,84.0990680108,545.555848896,36.0424577189,233.809649527
86,79.0,84.0934728518,545.248791809,36.0400597936,233.678053633
87,80.0,84.0879857719,544.948860459,36.037708188,233.549511625
88,80.0,84.0879857719,544.948860459,36.037708188,233.549511625
89,81.0,84.0826680696,544.655827686,36.0354291727,233.423926151
90,82.0,84.0774445919,544.36960386,36.0331905394,233.301258797
91,83.0,84.072333789,544.090010092,36.0310001953,233.181432896
