xi,beta,gamma,b,kappa,mu,delta1,delta2,delta3,delta4,net_mag,net_rat,h_init,n_init,ws_init,ms_init,wf_init,mf_init
0.0,5.24916625343,5.99904714678e-05,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,0.01,0.295081967213,122.0,85.0,36.0,1.0,0.0
0.0,5.24916625343,0.0001506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,0.0251188643151,0.299212598425,127.0,88.0,38.0,1.0,0.0
0.0,5.24916625343,0.000378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,0.063095734448,0.3,140.0,96.0,41.0,2.0,1.0
0.0,5.24916625343,0.000950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,0.158489319246,0.296875,192.0,129.0,55.0,6.0,2.0
0.0,5.24916625343,0.00238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,0.398107170553,0.300257731959,776.0,399.0,171.0,144.0,62.0
0.0,5.24916625343,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,1.0,0.300119331742,1676.0,402.0,172.0,771.0,331.0
0.0,5.24916625343,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,2.51188643151,0.299760191847,2085.0,209.0,89.0,1251.0,536.0
0.0,5.24916625343,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,5.24916625343,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,5.24916625343,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,5.24916625343,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.158489319246,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,13.1853094887,0.0001506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,0.01,0.300884955752,113.0,79.0,34.0,0.0,0.0
0.0,13.1853094887,0.000378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,0.0251188643151,0.299145299145,117.0,81.0,35.0,1.0,0.0
0.0,13.1853094887,0.000950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,0.063095734448,0.296875,128.0,89.0,38.0,1.0,0.0
0.0,13.1853094887,0.00238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,0.158489319246,0.302857142857,175.0,118.0,51.0,4.0,2.0
0.0,13.1853094887,0.00599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,0.398107170553,0.300395256917,759.0,394.0,169.0,137.0,59.0
0.0,13.1853094887,0.01506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,1.0,0.299880525687,1674.0,402.0,172.0,770.0,330.0
0.0,13.1853094887,0.0378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,2.51188643151,0.300095877277,2086.0,209.0,90.0,1251.0,536.0
0.0,13.1853094887,0.0950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,6.3095734448,0.300133392619,2249.0,91.0,39.0,1483.0,636.0
0.0,13.1853094887,0.238826368562,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,15.8489319246,0.299913569576,2314.0,38.0,16.0,1582.0,678.0
0.0,13.1853094887,0.599904714678,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,39.8107170553,0.3,2340.0,15.0,7.0,1623.0,695.0
0.0,13.1853094887,1.506892513,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,0.398107170553,100.0,0.3,2350.0,6.0,3.0,1639.0,702.0
0.0,33.12,0.000378514285714,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,0.01,0.3,110.0,77.0,33.0,0.0,0.0
0.0,33.12,0.000950784898418,1.24165230759e-05,11.6629034576,0.023,0.8,1.0,0.2,0.3,1.0,0.0251188643151,0.300884955752,113.0,79.0,34.0,0.0,0.0
