NREPEATS = 10
w0_s = 196,m0_s = 84,w0_f = 799,m0_f = 342
xi = 0.000000
beta = 2.0897307249e+02
gamma = 5.9990471468e-01
alpha = 1.0000000000e+00
w_opt = 1.0000000000e+03
mu = 2.3000000000e-02
TFinal = 500.000000
t,rep,ws,ms,wf,mf,h,n
0.000000,0,196,84,799,342,0.299789,1421
10.000000,0,206,99,789,329,0.300773,1423
20.000000,0,208,88,785,340,0.301196,1421
30.000000,0,194,80,800,355,0.304409,1429
40.000000,0,166,86,829,351,0.305168,1432
50.000000,0,169,74,827,375,0.310727,1445
60.000000,0,192,93,808,340,0.302163,1433
70.000000,0,219,87,776,350,0.305168,1432
80.000000,0,183,89,813,354,0.307853,1439
90.000000,0,218,93,776,348,0.307317,1435
100.000000,0,193,93,804,370,0.317123,1460
110.000000,0,193,78,804,381,0.315247,1456
120.000000,0,182,81,815,379,0.315717,1457
130.000000,0,187,88,809,371,0.315464,1455
140.000000,0,203,85,793,372,0.314522,1453
150.000000,0,187,78,809,371,0.310727,1445
160.000000,0,195,104,799,348,0.312586,1446
170.000000,0,200,89,793,358,0.310417,1440
180.000000,0,197,82,800,358,0.306193,1437
190.000000,0,174,68,822,367,0.303983,1431
200.000000,0,207,78,787,359,0.305381,1431
210.000000,0,189,72,805,369,0.307317,1435
220.000000,0,171,98,824,346,0.308548,1439
230.000000,0,226,92,771,347,0.305710,1436
240.000000,0,176,81,821,362,0.307639,1440
250.000000,0,212,87,779,348,0.305049,1426
260.000000,0,202,92,795,350,0.307158,1439
270.000000,0,179,87,815,351,0.305866,1432
280.000000,0,202,89,794,351,0.306407,1436
290.000000,0,173,79,823,367,0.309293,1442
300.000000,0,188,81,809,355,0.304257,1433
310.000000,0,177,77,817,359,0.304895,1430
320.000000,0,181,82,813,351,0.303434,1427
330.000000,0,201,99,795,345,0.308333,1440
340.000000,0,198,87,800,362,0.310297,1447
350.000000,0,182,97,816,355,0.311724,1450
360.000000,0,185,77,808,359,0.305108,1429
370.000000,0,187,77,810,364,0.306676,1438
380.000000,0,177,91,821,361,0.311724,1450
390.000000,0,191,81,804,368,0.310942,1444
400.000000,0,221,88,774,352,0.306620,1435
410.000000,0,190,75,809,369,0.307692,1443
420.000000,0,186,89,808,354,0.308281,1437
430.000000,0,194,83,802,365,0.310249,1444
440.000000,0,176,75,819,380,0.313793,1450
450.000000,0,223,96,770,357,0.313278,1446
460.000000,0,194,79,801,374,0.312845,1448
470.000000,0,191,95,806,373,0.319454,1465
480.000000,0,194,93,802,377,0.320600,1466
490.000000,0,207,93,788,376,0.320355,1464
500.000000,0,194,96,798,371,0.320082,1459
0.000000,1,196,84,799,342,0.299789,1421
10.000000,1,189,62,803,379,0.307746,1433
20.000000,1,183,86,814,344,0.301331,1427
30.000000,1,183,68,814,358,0.299368,1423
40.000000,1,207,90,788,336,0.299789,1421
50.000000,1,185,89,807,337,0.300423,1418
60.000000,1,207,79,790,350,0.300842,1426
70.000000,1,161,85,835,340,0.299085,1421
80.000000,1,180,62,817,353,0.293909,1412
90.000000,1,177,81,820,335,0.294409,1413
100.000000,1,197,88,802,331,0.295487,1418
110.000000,1,199,88,799,335,0.297678,1421
120.000000,1,202,79,793,344,0.298307,1418
130.000000,1,212,85,783,331,0.294826,1411
140.000000,1,184,81,813,325,0.289380,1403
150.000000,1,227,79,767,312,0.282310,1385
160.000000,1,190,80,804,305,0.279188,1379
170.000000,1,201,65,792,317,0.277818,1375
180.000000,1,218,77,777,312,0.281069,1384
190.000000,1,171,77,825,316,0.282937,1389
200.000000,1,203,76,795,312,0.279942,1386
210.000000,1,195,71,798,322,0.283550,1386
220.000000,1,189,74,808,326,0.286328,1397
230.000000,1,186,68,809,335,0.288269,1398
240.000000,1,214,82,784,312,0.283046,1392
250.000000,1,203,77,790,308,0.279390,1378
260.000000,1,189,81,808,303,0.278059,1381
270.000000,1,232,77,762,313,0.281792,1384
280.000000,1,204,75,791,318,0.283141,1388
290.000000,1,200,79,794,311,0.281792,1384
300.000000,1,219,83,777,303,0.279305,1382
310.000000,1,192,75,805,298,0.272263,1370
320.000000,1,201,82,792,296,0.275711,1371
330.000000,1,198,64,799,324,0.280144,1385
340.000000,1,211,77,787,303,0.275762,1378
350.000000,1,180,72,817,307,0.275436,1376
360.000000,1,217,92,775,281,0.273260,1365
370.000000,1,186,74,812,297,0.271001,1369
380.000000,1,229,75,764,294,0.270925,1362
390.000000,1,196,59,801,295,0.262028,1351
400.000000,1,202,71,793,281,0.261321,1347
410.000000,1,211,78,787,275,0.261288,1351
420.000000,1,208,66,790,276,0.255224,1340
430.000000,1,196,83,799,267,0.260223,1345
440.000000,1,200,62,798,292,0.261834,1352
450.000000,1,203,68,790,282,0.260611,1343
460.000000,1,209,67,788,277,0.256525,1341
470.000000,1,239,67,760,272,0.253363,1338
480.000000,1,195,77,805,261,0.252616,1338
490.000000,1,195,71,802,280,0.260386,1348
500.000000,1,228,70,765,272,0.256180,1335
0.000000,2,196,84,799,342,0.299789,1421
10.000000,2,185,93,809,339,0.302945,1426
20.000000,2,189,82,808,343,0.298875,1422
30.000000,2,181,76,812,342,0.296244,1411
40.000000,2,207,97,791,319,0.294201,1414
50.000000,2,196,86,799,330,0.294826,1411
60.000000,2,206,81,786,349,0.302391,1422
70.000000,2,216,83,778,342,0.299507,1419
80.000000,2,207,90,788,337,0.300281,1422
90.000000,2,206,80,791,343,0.297887,1420
100.000000,2,204,107,792,314,0.297107,1417
110.000000,2,184,76,813,352,0.300351,1425
120.000000,2,211,72,787,346,0.295198,1416
130.000000,2,191,74,803,349,0.298518,1417
140.000000,2,206,96,793,323,0.295487,1418
150.000000,2,206,73,790,326,0.286022,1395
160.000000,2,196,77,800,325,0.287554,1398
170.000000,2,178,87,820,318,0.288667,1403
180.000000,2,189,64,809,346,0.291193,1408
190.000000,2,216,89,781,311,0.286328,1397
200.000000,2,197,82,799,321,0.288063,1399
210.000000,2,195,89,799,319,0.291013,1402
220.000000,2,205,76,792,327,0.287857,1400
