alpha,beta,gamma,h,mag,mf_init,ms_init,mu,rat,w_opt,wf_init,ws_init,xi
1.0,0.3312,3.78514285714e-06,0.324434265652,0.01,60,410,0.023,0.01,1000.0,125,855,0.0
1.0,0.831936786116,9.50784898418e-06,0.318167688357,0.0251188643151,30,427,0.023,0.01,1000.0,64,915,0.0
1.0,2.08973072492,2.38826368562e-05,0.293743538518,0.063095734448,15,392,0.023,0.01,1000.0,35,943,0.0
1.0,5.24916625343,5.99904714678e-05,0.276971940666,0.158489319246,9,366,0.023,0.01,1000.0,23,955,0.0
1.0,13.1853094887,0.0001506892513,0.314253475499,0.398107170553,9,439,0.023,0.01,1000.0,19,959,0.0
1.0,33.12,0.000378514285714,0.310157653232,1.0,8,433,0.023,0.01,1000.0,17,961,0.0
1.0,83.1936786116,0.000950784898418,0.299411580128,2.51188643151,7,411,0.023,0.01,1000.0,16,962,0.0
1.0,208.973072492,0.00238826368562,0.313587672973,6.3095734448,7,440,0.023,0.01,1000.0,16,962,0.0
1.0,524.916625343,0.00599904714678,0.319193112118,15.8489319246,7,451,0.023,0.01,1000.0,16,962,0.0
1.0,1318.53094887,0.01506892513,0.321262382789,39.8107170553,8,455,0.023,0.01,1000.0,16,962,0.0
1.0,3312.0,0.0378514285714,0.322080071013,100.0,8,457,0.023,0.01,1000.0,16,962,0.0
1.0,0.3312,9.50784898418e-06,0.296829585996,0.01,60,354,0.023,0.0251188643151,1000.0,142,839,0.0
1.0,0.831936786116,2.38826368562e-05,0.299433267186,0.0251188643151,36,383,0.023,0.0251188643151,1000.0,83,896,0.0
1.0,2.08973072492,5.99904714678e-05,0.301295376189,0.063095734448,25,398,0.023,0.0251188643151,1000.0,57,922,0.0
1.0,5.24916625343,0.0001506892513,0.301932892926,0.158489319246,20,404,0.023,0.0251188643151,1000.0,46,933,0.0
1.0,13.1853094887,0.000378514285714,0.292222610404,0.398107170553,17,387,0.023,0.0251188643151,1000.0,40,938,0.0
1.0,33.12,0.000950784898418,0.308299565862,1.0,18,418,0.023,0.0251188643151,1000.0,39,939,0.0
1.0,83.1936786116,0.00238826368562,0.302934531248,2.51188643151,17,408,0.023,0.0251188643151,1000.0,38,940,0.0
1.0,208.973072492,0.00599904714678,0.308615793881,6.3095734448,17,419,0.023,0.0251188643151,1000.0,38,940,0.0
1.0,524.916625343,0.01506892513,0.291187462734,15.8489319246,15,386,0.023,0.0251188643151,1000.0,37,941,0.0
1.0,1318.53094887,0.0378514285714,0.292070814429,39.8107170553,15,388,0.023,0.0251188643151,1000.0,37,941,0.0
1.0,3312.0,0.0950784898418,0.292378651778,100.0,15,389,0.023,0.0251188643151,1000.0,37,941,0.0
1.0,0.3312,2.38826368562e-05,0.298911041124,0.01,77,341,0.023,0.063095734448,1000.0,182,800,0.0
1.0,0.831936786116,5.99904714678e-05,0.296355528444,0.0251188643151,54,358,0.023,0.063095734448,1000.0,129,851,0.0
1.0,2.08973072492,0.0001506892513,0.2959191616,0.063095734448,44,367,0.023,0.063095734448,1000.0,106,874,0.0
1.0,5.24916625343,0.000378514285714,0.301526632637,0.158489319246,42,382,0.023,0.063095734448,1000.0,97,883,0.0
1.0,13.1853094887,0.000950784898418,0.301032175862,0.398107170553,40,382,0.023,0.063095734448,1000.0,93,887,0.0
1.0,33.12,0.00238826368562,0.297448830046,1.0,38,376,0.023,0.063095734448,1000.0,91,889,0.0
1.0,83.1936786116,0.00599904714678,0.302989888898,2.51188643151,39,386,0.023,0.063095734448,1000.0,91,889,0.0
1.0,208.973072492,0.01506892513,0.296192945278,6.3095734448,38,375,0.023,0.063095734448,1000.0,90,890,0.0
1.0,524.916625343,0.0378514285714,0.297238282937,15.8489319246,38,376,0.023,0.063095734448,1000.0,90,890,0.0
1.0,1318.53094887,0.0950784898418,0.297525594979,39.8107170553,38,377,0.023,0.063095734448,1000.0,90,890,0.0
1.0,3312.0,0.238826368562,0.297724802266,100.0,38,377,0.023,0.063095734448,1000.0,90,890,0.0
1.0,0.3312,5.99904714678e-05,0.297737142546,0.01,113,303,0.023,0.158489319246,1000.0,268,716,0.0
1.0,0.831936786116,0.0001506892513,0.300252861206,0.0251188643151,98,324,0.023,0.158489319246,1000.0,229,754,0.0
1.0,2.08973072492,0.000378514285714,0.300632267987,0.063095734448,91,331,0.023,0.158489319246,1000.0,211,771,0.0
1.0,5.24916625343,0.000950784898418,0.30101495552,0.158489319246,88,335,0.023,0.158489319246,1000.0,204,778,0.0
1.0,13.1853094887,0.00238826368562,0.300642219993,0.398107170553,86,335,0.023,0.158489319246,1000.0,201,781,0.0
