NREPEATS = 1000
replication_rate = 0.004600
mutation_rate = 0.000001
TFinal = 36500.000000
fs = 0.200000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,16,16,0.049000,0.220562
3650.000000,0,22,22,0.110000,0.328646
5475.000000,0,30,30,0.281000,0.603658
7300.000000,0,32,32,0.423000,0.659170
9125.000000,0,30,30,0.419000,0.635486
10950.000000,0,24,24,0.348000,0.610958
12775.000000,0,32,32,0.450000,0.691360
14600.000000,0,31,31,0.449000,0.698489
16425.000000,0,36,36,0.336000,0.594523
18250.000000,0,47,47,0.402000,0.699203
20075.000000,0,46,46,0.676000,0.930532
21900.000000,0,44,44,0.662000,0.959519
23725.000000,0,52,52,0.760000,1.086085
25550.000000,0,45,45,0.959000,1.136050
27375.000000,0,40,40,0.933000,1.208293
29200.000000,0,38,38,1.001000,1.221676
31025.000000,0,47,47,1.172000,1.488164
32850.000000,0,59,59,1.418000,1.472904
34675.000000,0,56,56,1.032000,1.244397
36500.000000,0,40,40,0.914000,1.109881
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,32,32,0.077000,0.277756
3650.000000,1,31,31,0.217000,0.417235
5475.000000,1,28,28,0.261000,0.450646
7300.000000,1,36,36,0.303000,0.541742
9125.000000,1,37,37,0.432000,0.582851
10950.000000,1,44,44,0.546000,0.605186
12775.000000,1,47,47,0.564000,0.707393
14600.000000,1,42,42,0.706000,0.869667
16425.000000,1,41,41,0.758000,0.828325
18250.000000,1,44,44,0.914000,0.878280
20075.000000,1,42,42,1.012000,1.099575
21900.000000,1,46,46,1.192000,1.268363
23725.000000,1,48,48,1.220000,1.197094
25550.000000,1,51,51,1.195000,1.185065
27375.000000,1,57,57,1.237000,1.154194
29200.000000,1,55,55,1.391000,1.282093
31025.000000,1,46,46,1.192000,1.242852
32850.000000,1,49,49,1.202000,1.251704
34675.000000,1,49,49,1.614000,1.640639
36500.000000,1,51,51,1.637000,1.418888
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,11,11,0.039000,0.193692
3650.000000,2,15,15,0.087000,0.288989
5475.000000,2,26,26,0.129000,0.410521
7300.000000,2,28,28,0.141000,0.353899
9125.000000,2,27,27,0.160000,0.408126
10950.000000,2,26,26,0.329000,0.575404
12775.000000,2,33,33,0.332000,0.563998
14600.000000,2,39,39,0.440000,0.607263
16425.000000,2,36,36,0.513000,0.616613
18250.000000,2,46,46,0.552000,0.667639
20075.000000,2,43,43,0.606000,0.676181
21900.000000,2,45,45,0.835000,0.797754
23725.000000,2,49,49,1.013000,0.859983
25550.000000,2,57,57,1.122000,0.933803
27375.000000,2,48,48,1.227000,0.926461
29200.000000,2,48,48,1.089000,0.875126
31025.000000,2,52,52,1.197000,0.822720
32850.000000,2,44,44,1.192000,0.676457
34675.000000,2,52,52,1.191000,0.617171
36500.000000,2,48,48,1.241000,0.664350
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,28,28,0.082000,0.292167
3650.000000,3,24,24,0.124000,0.385711
5475.000000,3,29,29,0.235000,0.509936
7300.000000,3,31,31,0.273000,0.546598
9125.000000,3,33,33,0.331000,0.565472
10950.000000,3,39,39,0.494000,0.621571
12775.000000,3,45,45,0.571000,0.696738
14600.000000,3,47,47,0.568000,0.673669
16425.000000,3,42,42,0.481000,0.749801
18250.000000,3,47,47,0.612000,0.848632
20075.000000,3,49,49,0.885000,0.940563
21900.000000,3,41,41,0.852000,1.041720
23725.000000,3,46,46,1.059000,0.992221
25550.000000,3,48,48,1.124000,1.040051
27375.000000,3,47,47,1.285000,1.114009
29200.000000,3,49,49,1.518000,1.200465
31025.000000,3,41,41,1.258000,1.044283
32850.000000,3,32,32,1.127000,0.911977
34675.000000,3,34,34,1.203000,0.928792
36500.000000,3,44,44,1.178000,0.948270
0.000000,4,0,0,0.000000,0.000000
1825.000000,4,16,16,0.040000,0.196057
3650.000000,4,16,16,0.076000,0.268880
5475.000000,4,24,24,0.152000,0.411175
7300.000000,4,32,32,0.235000,0.519659
9125.000000,4,23,23,0.164000,0.375826
10950.000000,4,31,31,0.198000,0.432415
12775.000000,4,35,35,0.319000,0.485257
14600.000000,4,38,38,0.552000,0.650938
16425.000000,4,34,34,0.606000,0.686466
18250.000000,4,37,37,0.695000,0.833468
20075.000000,4,40,40,0.787000,0.945794
21900.000000,4,43,43,0.933000,1.066606
23725.000000,4,43,43,1.005000,1.059291
25550.000000,4,39,39,0.987000,1.061111
27375.000000,4,43,43,1.149000,1.167117
29200.000000,4,54,54,1.279000,1.160390
31025.000000,4,36,36,0.995000,1.090947
32850.000000,4,46,46,1.253000,1.250822
34675.000000,4,47,47,1.550000,1.442075
36500.000000,4,49,49,1.461000,1.518811
0.000000,5,0,0,0.000000,0.000000
1825.000000,5,24,24,0.087000,0.299200
3650.000000,5,31,31,0.151000,0.385159
5475.000000,5,35,35,0.255000,0.469250
7300.000000,5,39,39,0.347000,0.562946
9125.000000,5,39,39,0.370000,0.594520
10950.000000,5,33,33,0.390000,0.593508
12775.000000,5,37,37,0.408000,0.565558
14600.000000,5,43,43,0.505000,0.674114
16425.000000,5,41,41,0.592000,0.765586
18250.000000,5,38,38,0.811000,0.814827
20075.000000,5,47,47,0.953000,0.815755
21900.000000,5,42,42,1.219000,0.851918
23725.000000,5,39,39,1.234000,0.841399
25550.000000,5,45,45,1.298000,0.947678
27375.000000,5,50,50,1.293000,0.863653
29200.000000,5,41,41,1.358000,0.898133
31025.000000,5,43,43,1.283000,1.051673
32850.000000,5,39,39,1.326000,1.099515
34675.000000,5,43,43,1.367000,1.081425
36500.000000,5,41,41,1.321000,1.082188
0.000000,6,0,0,0.000000,0.000000
1825.000000,6,17,17,0.072000,0.258617
3650.000000,6,29,29,0.189000,0.399297
5475.000000,6,28,28,0.270000,0.457503
7300.000000,6,34,34,0.326000,0.532924
9125.000000,6,41,41,0.418000,0.604683
10950.000000,6,44,44,0.572000,0.816997
12775.000000,6,45,45,0.625000,0.798130
14600.000000,6,39,39,0.548000,0.765691
16425.000000,6,45,45,0.624000,0.887362
18250.000000,6,33,33,0.780000,0.903558
20075.000000,6,53,53,0.778000,0.767662
21900.000000,6,56,56,0.824000,0.793507
23725.000000,6,42,42,0.805000,0.812179
25550.000000,6,55,55,0.904000,1.060145
27375.000000,6,45,45,1.080000,1.119309
29200.000000,6,40,40,1.123000,1.110452
31025.000000,6,50,50,1.292000,1.218286
32850.000000,6,49,49,1.409000,1.185379
34675.000000,6,41,41,1.276000,1.013336
36500.000000,6,46,46,1.412000,1.162587
0.000000,7,0,0,0.000000,0.000000
1825.000000,7,30,30,0.109000,0.314989
3650.000000,7,36,36,0.252000,0.443500
5475.000000,7,34,34,0.362000,0.505184
7300.000000,7,39,39,0.521000,0.603260
9125.000000,7,43,43,0.627000,0.728287
10950.000000,7,42,42,0.672000,0.751652
12775.000000,7,39,39,0.750000,0.774661
14600.000000,7,34,34,0.742000,0.748329
16425.000000,7,43,43,0.817000,0.836786
18250.000000,7,34,34,0.743000,0.767815
20075.000000,7,47,47,0.875000,0.786125
21900.000000,7,46,46,0.944000,0.856503
23725.000000,7,48,48,1.038000,0.905194
25550.000000,7,47,47,1.124000,0.941015
27375.000000,7,48,48,1.301000,0.993673
29200.000000,7,47,47,1.534000,1.109989
31025.000000,7,59,59,1.663000,1.170812
32850.000000,7,55,55,1.699000,1.245773
34675.000000,7,55,55,1.937000,1.310247
36500.000000,7,55,55,2.258000,1.398353
0.000000,8,0,0,0.000000,0.000000
1825.000000,8,26,26,0.110000,0.316228
3650.000000,8,26,26,0.171000,0.381975
5475.000000,8,25,25,0.197000,0.412749
7300.000000,8,33,33,0.241000,0.452906
9125.000000,8,36,36,0.342000,0.554386
10950.000000,8,21,21,0.320000,0.501848
12775.000000,8,30,30,0.424000,0.597144
14600.000000,8,27,27,0.538000,0.625258
16425.000000,8,40,40,0.601000,0.648243
18250.000000,8,39,39,0.593000,0.726553
20075.000000,8,35,35,0.720000,0.730845
21900.000000,8,33,33,0.838000,0.826098
23725.000000,8,40,40,0.833000,0.782127
25550.000000,8,42,42,0.958000,0.884884
27375.000000,8,42,42,1.241000,0.933697
29200.000000,8,37,37,1.349000,0.982937
31025.000000,8,41,41,1.194000,0.988606
32850.000000,8,40,40,1.372000,0.994286
34675.000000,8,32,32,1.508000,0.923466
36500.000000,8,45,45,1.687000,0.854260
0.000000,9,0,0,0.000000,0.000000
1825.000000,9,31,31,0.154000,0.363891
3650.000000,9,30,30,0.194000,0.415375
5475.000000,9,29,29,0.243000,0.467086
7300.000000,9,32,32,0.260000,0.482320
9125.000000,9,29,29,0.349000,0.532431
10950.000000,9,35,35,0.386000,0.526575
12775.000000,9,26,26,0.414000,0.520456
14600.000000,9,33,33,0.467000,0.568537
16425.000000,9,30,30,0.517000,0.654323
18250.000000,9,44,44,0.614000,0.685181
20075.000000,9,43,43,0.655000,0.669644
21900.000000,9,33,33,0.876000,0.668634
23725.000000,9,54,54,0.948000,0.797453
25550.000000,9,45,45,0.966000,0.905353
27375.000000,9,51,51,1.054000,1.023783
29200.000000,9,46,46,1.036000,0.990801
31025.000000,9,45,45,1.315000,1.067199
32850.000000,9,49,49,1.365000,1.160656
34675.000000,9,47,47,1.510000,1.144207
36500.000000,9,53,53,1.606000,1.170527
0.000000,10,0,0,0.000000,0.000000
1825.000000,10,17,17,0.051000,0.237604
3650.000000,10,26,26,0.081000,0.272972
5475.000000,10,24,24,0.135000,0.344810
7300.000000,10,36,36,0.262000,0.526910
9125.000000,10,39,39,0.332000,0.553247
10950.000000,10,47,47,0.415000,0.609218
12775.000000,10,39,39,0.659000,0.758482
14600.000000,10,46,46,0.676000,0.898795
16425.000000,10,55,55,0.868000,0.999788
18250.000000,10,55,55,0.920000,0.932990
20075.000000,10,43,43,0.942000,0.822990
21900.000000,10,39,39,0.800000,0.769800
23725.000000,10,49,49,0.824000,0.835297
25550.000000,10,42,42,0.872000,0.862763
27375.000000,10,45,45,0.931000,0.888272
29200.000000,10,51,51,0.904000,0.865756
31025.000000,10,50,50,0.949000,0.967127
32850.000000,10,47,47,0.907000,0.878136
34675.000000,10,42,42,0.881000,0.913057
36500.000000,10,50,50,0.894000,0.967316
0.000000,11,0,0,0.000000,0.000000
1825.000000,11,23,23,0.064000,0.248930
3650.000000,11,24,24,0.104000,0.333609
5475.000000,11,33,33,0.285000,0.578022
7300.000000,11,31,31,0.378000,0.667504
9125.000000,11,33,33,0.422000,0.637434
10950.000000,11,37,37,0.530000,0.693961
12775.000000,11,42,42,0.632000,0.762337
14600.000000,11,47,47,0.568000,0.750959
16425.000000,11,39,39,0.516000,0.744512
18250.000000,11,35,35,0.578000,0.771045
20075.000000,11,49,49,0.581000,0.883300
21900.000000,11,46,46,0.676000,0.963303
23725.000000,11,39,39,0.817000,0.957302
25550.000000,11,36,36,0.942000,0.939957
27375.000000,11,47,47,1.184000,1.041743
29200.000000,11,46,46,1.602000,1.156258
