NREPEATS = 1000
replication_rate = 0.009200
mutation_rate = 0.000001
TFinal = 36500.000000
fs = 0.400000
t,rep,n_mutants,n_het_mutants,mean_mutn_indiv,std_mutn_indiv
0.000000,0,0,0,0.000000,0.000000
1825.000000,0,28,28,0.235000,0.511896
3650.000000,0,30,30,0.467000,0.655241
5475.000000,0,32,32,0.621000,0.916624
7300.000000,0,35,35,0.636000,0.796328
9125.000000,0,37,37,0.656000,0.838073
10950.000000,0,44,44,0.839000,0.947616
12775.000000,0,42,42,0.872000,0.936212
14600.000000,0,42,42,0.858000,1.043516
16425.000000,0,40,40,1.165000,1.312821
18250.000000,0,39,39,1.392000,1.097059
20075.000000,0,47,47,1.538000,0.985661
21900.000000,0,58,58,2.285000,0.943751
23725.000000,0,45,45,2.260000,0.997695
25550.000000,0,54,54,2.463000,1.054392
27375.000000,0,57,57,2.516000,1.230959
29200.000000,0,45,45,2.122000,1.047002
31025.000000,0,46,46,2.276000,0.859397
32850.000000,0,42,42,2.483000,0.714298
34675.000000,0,37,37,2.623000,0.827983
36500.000000,0,53,53,2.853000,0.928576
0.000000,1,0,0,0.000000,0.000000
1825.000000,1,32,32,0.212000,0.503298
3650.000000,1,32,32,0.282000,0.626793
5475.000000,1,39,39,0.465000,0.754549
7300.000000,1,36,36,0.505000,0.746010
9125.000000,1,27,27,0.672000,0.877032
10950.000000,1,44,44,1.006000,0.957539
12775.000000,1,45,45,1.674000,1.212928
14600.000000,1,59,59,1.795000,1.467354
16425.000000,1,43,43,2.048000,1.371706
18250.000000,1,52,52,2.101000,1.235445
20075.000000,1,55,55,1.999000,1.049810
21900.000000,1,39,39,2.043000,1.184295
23725.000000,1,44,44,2.432000,1.194489
25550.000000,1,48,48,2.674000,1.081154
27375.000000,1,46,46,2.923000,1.088235
29200.000000,1,66,66,3.212000,1.222518
31025.000000,1,61,61,3.308000,1.179206
32850.000000,1,59,59,3.136000,1.238159
34675.000000,1,50,50,3.138000,1.480252
36500.000000,1,58,58,2.897000,1.506871
0.000000,2,0,0,0.000000,0.000000
1825.000000,2,22,22,0.125000,0.342772
3650.000000,2,35,35,0.329000,0.600933
5475.000000,2,36,36,0.531000,0.790990
7300.000000,2,34,34,0.763000,1.085361
9125.000000,2,30,30,0.952000,1.169215
10950.000000,2,38,38,1.293000,1.310293
12775.000000,2,32,32,0.866000,1.084075
14600.000000,2,37,37,1.297000,1.151572
16425.000000,2,34,34,1.480000,1.297414
18250.000000,2,48,48,1.904000,1.492988
20075.000000,2,48,48,2.181000,1.540978
21900.000000,2,57,57,2.674000,1.613173
23725.000000,2,54,54,3.326000,1.776198
25550.000000,2,53,53,3.775000,1.831319
27375.000000,2,62,62,4.178000,1.720836
29200.000000,2,62,62,4.897000,2.099714
31025.000000,2,49,49,5.451000,2.098095
32850.000000,2,53,53,5.805000,2.284336
34675.000000,2,51,51,6.346000,2.280238
36500.000000,2,66,66,6.269000,2.516540
0.000000,3,0,0,0.000000,0.000000
1825.000000,3,36,36,0.197000,0.477932
3650.000000,3,23,23,0.386000,0.804768
5475.000000,3,40,40,0.659000,0.982693
7300.000000,3,53,53,0.935000,0.842309
9125.000000,3,42,42,1.184000,0.792952
10950.000000,3,41,41,1.329000,1.004873
12775.000000,3,44,44,1.527000,1.207779
